"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"","502
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502
002","","18","3.389","50.0","5.6","22.2","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"","502
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Wkshp-Ed Leadership & Pol Anal","Course Total","","43","3.500","55.8","9.3","11.6","7.0","2.3","2.3","2.3",".",".",".",".",".","9.3",".",".","."
"Field Experience-Ed Ldrship","700
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
001","","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
701","","23","3.905","73.9","17.4",".",".",".",".",".",".",".",".",".",".","8.7",".",".","."
"Intro-Higher & Post-Sec Ed","Course Total","","37","3.871","70.3","24.3",".",".",".",".",".",".",".",".",".",".","5.4",".",".","."
"Intro-Educational Leadership","702
001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Athletics Administration","710
001","","12","3.727","50.0","33.3","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Govern&Admin-Coll&Universty","715
001","","24","3.795","58.3","29.2","4.2",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Intro to Qualitative Research","719
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","725
001","","18","3.853","66.7","27.8",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","002
725","","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","Course Total","","36","3.886","77.8","16.7","2.8",".",".",".",".",".",".",".",".",".","2.8",".",".","."
"Data-Based Decision-Making","726
001","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Ldrship for Equity & Diversity","735
001","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Admin Stdt Serv-Higher Educ","736
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adult Learner:Implictn for C&I","746
001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Educ Policy Analysis","765
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","788
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Quant Inquiry in Educ","822
001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824
001","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Finance","830
001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public School Law","840
001","","20","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Technology Leadership","844
001","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"The School Superintendency","846
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The Politics of Education","870
001","","19","3.917","78.9","15.8",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Acadmc Prgrms-Col&Universty","880
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","890
036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890
203","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Appl Rsch in Ed Admin","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","001
940","","23","4.000","91.3",".",".",".",".",".",".",".",".",".",".",".","8.7",".",".","."
"","940
002","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","003
940","","21","3.833","61.9","19.0","4.8",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","940
004","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
006","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","","Page 88 of 403"
