"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"362
Development of Young Child","001","","242","3.362","30.6","36.0","19.4","5.8","5.0","1.2","0.8","1.2",".",".",".",".",".",".",".","."
"363
Develp: Adolescence-Old Age","001","","249","3.418","34.5","35.3","18.9","6.4","2.8","1.6","0.4",".",".",".",".",".",".",".",".","."
"425
Rsch Meth in Hum Devel&Fam St","001","","36","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"471
Parent-Child Relations","001","","32","3.922","93.8","3.1",".",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"474
Racial Ethnic Families in U.S.","001","","36","3.889","83.3","13.9",".","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"501
Special Topics","008","","56","3.884","87.5","3.6","7.1","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"516
Family Stress and Coping","001","","38","3.944","84.2","10.5",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"517
Couple Relationships","001","","49","3.582","44.9","36.7","12.2","2.0","4.1",".",".",".",".",".",".",".",".",".",".","."
"535
Family Perspctv-Policymakng","001","","42","3.369","38.1","28.6","16.7","7.1","7.1","2.4",".",".",".",".",".",".",".",".",".","."
"592","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"592","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"592","039","","11","3.926","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"592","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Experience in HDFS","Course Total","","21","3.907","90.5",".","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"601","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"616
Mass Media and Youth","003","","33","3.682","66.7","18.2","3.0","9.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"650
Parent Educ & Support Programs","001","","44","3.500","31.8","45.5","15.9","4.5","2.3",".",".",".",".",".",".",".",".",".",".","."
"663
Developmental & Fam Assessment","001","","39","3.923","92.3","2.6","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"725
Theory & Issues-Human Dev","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"760
Infancy and the Family","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"766","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"766","002","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Iss-Family Living","Course Total","","15","3.929","80.0","13.3",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"843
Fam Pol:Affects & What Prof Do","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"865
Family Theory I (Survey)","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"880
Prevention Science","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","17","",".",".",".",".",".",".",".","88.2","5.9",".",".","5.9",".",".",".","."
"999
Independent Study","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
