"L&S","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","391","2.951","20.5","19.7","20.2","19.7","14.3","2.8","1.8","0.3",".",".",".",".","0.5",".",".","0.3"
"","101
002","369","2.951","21.4","19.0","19.8","20.6","14.9","2.4","1.9",".",".",".",".",".",".",".",".","."
"","101
003","375","3.142","24.8","25.3","19.2","20.0","7.7","0.8","1.3","0.3",".",".",".",".","0.5",".",".","."
"","004
101","222","3.023","19.8","25.7","23.4","14.9","10.4","2.3","2.7","0.5",".",".",".",".","0.5",".",".","."
"Principles-Microeconomics","Course Total","1357","3.016","21.8","22.0","20.3","19.2","12.0","2.1","1.8","0.2",".",".",".",".","0.4",".",".","0.1"
"","102
001","279","2.765","10.8","16.5","25.1","24.7","16.5","5.7","0.7",".",".",".",".",".",".",".",".","."
"","102
002","263","3.097","18.6","27.8","25.5","15.2","11.0","1.5","0.4",".",".",".",".",".",".",".",".","."
"","102
003","281","3.217","27.4","26.0","24.6","12.5","7.1","2.1","0.4",".",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","Course Total","823","3.026","19.0","23.3","25.0","17.5","11.5","3.2","0.5",".",".",".",".",".",".",".",".","."
"Prin/Econ-Accelratd Treatmt","111
001","33","3.045","27.3","18.2","12.1","33.3","3.0","6.1",".",".",".",".",".",".",".",".",".","."
"Internship Economics","228
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
001","11","3.273","36.4","18.2","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","300
003","8","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","19","3.421","47.4","15.8","15.8","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"","301
001","94","3.199","20.2","34.0","21.3","18.1","3.2","1.1","1.1",".",".",".",".",".",".",".",".","1.1"
"","002
301","113","3.089","15.9","33.6","26.5","12.4","3.5","7.1",".",".",".",".",".",".","0.9",".",".","."
"","003
301","117","3.231","28.2","16.2","42.7","6.0","3.4","3.4",".",".",".",".",".",".",".",".",".","."
"Intmed Microeconomic Theory","Course Total","324","3.172","21.6","27.5","30.9","11.7","3.4","4.0","0.3",".",".",".",".",".","0.3",".",".","0.3"
"","302
001","148","2.983","19.6","18.2","27.7","21.6","7.4","2.0","2.7","0.7",".",".",".",".",".",".",".","."
"","302
002","204","3.182","24.0","23.0","29.9","15.2","4.9","2.5",".",".",".",".",".",".",".",".",".","0.5"
"Intmed Macroeconomic Theory","Course Total","352","3.099","22.2","21.0","29.0","17.9","6.0","2.3","1.1","0.3",".",".",".",".",".",".",".","0.3"
"The Real Estate Process","306
001","61","2.625","4.9","21.3","23.0","23.0","13.1","11.5","1.6",".",".",".",".",".",".","1.6",".","."
"Study Abroad-Intermed Econ","309
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","001
310","237","2.771","16.5","13.5","19.8","22.8","21.1","4.2","1.7",".",".",".",".",".",".",".",".","0.4"
"","002
310","120","3.058","20.8","25.8","21.7","14.2","14.2","3.3",".",".",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","Course Total","357","2.868","17.9","17.6","20.4","19.9","18.8","3.9","1.1",".",".",".",".",".",".",".",".","0.3"
"Intmed Microecon-Adv Treatment","311
001","22","3.386","50.0","22.7","13.6",".","9.1",".","4.5",".",".",".",".",".",".",".",".","."
"","320
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory","Course Total","9","2.889","11.1","22.2","33.3","22.2",".","11.1",".",".",".",".",".",".",".",".",".","."
"Money and Banking","330
001","185","2.693","8.6","14.1","25.4","26.5","17.8","5.9","1.1",".",".",".",".",".",".",".",".","0.5"
"Environmental Economics","343
001","71","3.188","33.8","25.4","19.7","7.0","7.0","4.2","2.8",".",".",".",".",".",".",".",".","."
"Survey-Internatl Economics","364
001","20","3.075","30.0","5.0","40.0","10.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"Contemporary Economic Issues","390
014","86","3.359","34.9","16.3","36.0","8.1","3.5",".",".",".",".",".",".",".",".","1.2",".","."
"Introductory Econometrics","410
001","116","3.039","22.4","19.0","20.7","23.3","12.9","1.7",".",".",".",".",".",".",".",".",".","."
"","420
001","10","3.350","10.0","50.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","10","3.050","10.0","10.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","20","3.200","10.0","30.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"The Financial System","435
001","36","3.314","27.8","22.2","33.3","11.1","2.8",".",".",".",".",".",".",".","2.8",".",".","."
"Analytical Public Finance","441
001","101","3.188","31.7","18.8","19.8","15.8","12.9","1.0",".",".",".",".",".",".",".",".",".","."
"Human Resources-Econ Growth","448
001","41","2.899","9.8","12.2","46.3","17.1","12.2","2.4",".",".",".",".",".",".",".",".",".","."
"Wages and the Labor Market","450
001","115","2.948","14.8","25.2","25.2","19.1","10.4","3.5","1.7",".",".",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","Page 201 of 403",""
