"MEDICAL MICROBIOL & IMMUN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","",""
"Research and Thesis","Course Total","28","",".",".",".",".",".",".",".","53.6",".",".",".","39.3","",".",".","7.1","."
"M M & I
620","Dept. Total","453","3.636","63.6","12.1","8.6","2.9","3.3","1.3","0.9","3.5",".",".",".","2.6","",".",".","1.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","11","3.719","72.7","9.1",".","18.2",".",".",".",".",".",".",".",".","",".",".",".","."
"Junior","","64","3.703","75.0","7.8","7.8","1.6","4.7",".","1.6",".",".",".",".",".","",".",".","1.6","."
"Senior","","197","3.607","66.5","13.7","5.1","4.1","5.1","3.0","1.0",".",".",".",".","0.5","",".",".","1.0","."
"Undergraduates","","272","3.636","68.8","12.1","5.5","4.0","4.8","2.2","1.1",".",".",".",".","0.4","",".",".","1.1","."
"Special","","25","3.470","60.0","12.0","8.0","4.0","8.0",".","4.0","4.0",".",".",".",".","",".",".",".","."
"Graduate","","91","3.856","61.5","5.5","4.4",".",".",".",".","15.4",".",".",".","11.0","",".",".","2.2","."
"Prof Yr 1","","55","3.483","41.8","23.6","32.7","1.8",".",".",".",".",".",".",".",".","",".",".",".","."
"Prof Yr 2","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".","",".",".",".","."
"Prof Yr 3","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Prof Yr 4","","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".","14.3","",".",".",".","."
"Professionals","","65","3.533","46.2","21.5","27.7","1.5",".",".",".","1.5",".",".",".","1.5","",".",".",".","."
"","Dept. Total","453","3.636","63.6","12.1","8.6","2.9","3.3","1.3","0.9","3.5",".",".",".","2.6","",".",".","1.1","."
