"COUNSELING PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","","",""
"","105
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
003","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
004","","10","3.800","90.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","105
008","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","","45","3.956","97.8",".",".",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"","110
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","005
110","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","011
110","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
012","","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev:Career Strategies","Course Total","","58","3.948","93.1","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
003","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
005","","43","3.942","88.4","11.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
006","","63","3.873","85.7","9.5","3.2",".",".","1.6",".",".",".",".",".",".",".",".",".","."
"","115
007","","28","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
009","","58","3.879","82.8","12.1","3.4","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","115
010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
011","","10","3.750","80.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","115
012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
019","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
020","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
021","","14","3.536","35.7","42.9","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","022
115","","12","3.250","41.7","16.7","25.0",".","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","115
034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
051","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
052","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
053","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
054","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
055","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","056
115","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"","115
057","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
058","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
062","","8","3.125","75.0",".",".",".",".","12.5","12.5",".",".",".",".",".",".",".",".","."
"","115
063","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
064","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
065","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
066","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
067","","9","3.389","66.7","11.1",".",".","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"","115
068","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
069","","8","3.375","62.5","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","115
070","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
071","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","072
115","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
073","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
074","","8","2.125","12.5","12.5","25.0","12.5",".","12.5","25.0",".",".",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","","Page 80 of 403"
