"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Sm Animal Emrgncy&Crit Care II","577
001","28","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Companion Animal&Equine Med I","632
001","79","3.595","49.4","22.8","25.3","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Food Animal Medicine","634
001","79","3.228","15.2","25.3","51.9","5.1","2.5",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Neurology","667
001","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","28","4.000","46.4",".",".",".",".",".",".","53.6",".",".",".",".",".",".",".","."
"","669
001","17","3.667","47.1",".",".",".",".","5.9",".","47.1",".",".",".",".",".",".",".","."
"","669
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","Course Total","18","3.700","50.0",".",".",".",".","5.6",".","44.4",".",".",".",".",".",".",".","."
"","670
001","38","4.000","10.5",".",".",".",".",".",".","89.5",".",".",".",".",".",".",".","."
"","670
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","39","4.000","10.3",".",".",".",".",".",".","89.7",".",".",".",".",".",".",".","."
"Sr Rotation:Theriogenology","672
001","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","41","4.000","43.9",".",".",".",".",".",".","53.7",".",".",".",".",".",".","2.4","."
"","675
001","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
002","25","4.000","64.0",".",".",".",".",".",".","36.0",".",".",".",".",".",".",".","."
"","675
003","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
004","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
005","57","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
007","13","4.000","38.5",".",".",".",".",".",".","61.5",".",".",".",".",".",".",".","."
"","675
008","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
026","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","163","4.000","54.6",".",".",".",".",".",".","45.4",".",".",".",".",".",".",".","."
"","678
001","39","4.000","41.0",".",".",".",".",".",".","59.0",".",".",".",".",".",".",".","."
"","678
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","42","4.000","38.1",".",".",".",".",".",".","61.9",".",".",".",".",".",".",".","."
"Small Animal Oncology","679
001","8","4.000","62.5",".",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","11","4.000","81.8",".",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"","775
001","30","",".",".",".",".",".",".",".","93.3",".",".",".",".",".",".","6.7","."
"","775
002","18","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".","16.7","."
"","775
003","11","",".",".",".",".",".",".",".","90.9",".",".",".",".",".",".","9.1","."
"","775
004","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Externship","Course Total","65","",".",".",".",".",".",".",".","90.8",".",".",".",".",".",".","9.2","."
