"L&S","","","","","","","","","","","","","","","","","","","",""
"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"835","004","","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"835","005","","11","3.636","63.6","18.2","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"835","006","","14","3.643","50.0","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Soc Work Pract-Mental Hlth","Course Total","","85","3.691","55.3","29.4","11.8","1.2","2.4",".",".",".",".",".",".",".",".",".",".","."
"836","001","","29","3.534","37.9","37.9","20.7",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"836","002","","25","3.360","16.0","48.0","28.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Mental Hlth Policies&Services","Course Total","","54","3.454","27.8","42.6","24.1","3.7","1.9",".",".",".",".",".",".",".",".",".",".","."
"840","001","","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840","002","","16","3.625","31.3","62.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Macro Practice","Course Total","","32","3.750","53.1","43.8","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"869
Recent Developmnts-Soc Work","001","","18","3.865","66.7","22.2",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"870","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"870","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Assessing and Treating Adults","Course Total","","9","3.500","44.4","11.1","22.2","11.1",".",".",".",".",".",".",".",".","11.1",".",".","."
"874
Adv Prac-Hlth, Aging, Disablty","001","","20","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Hlth, Aging, Disably Pol&Serv","001","","22","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","001","","22","3.795","63.6","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","002","","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chld, Youth, Fam Pol&Services","Course Total","","36","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"921
Child Welfare","001","","32","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"923
Family Violence","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"946
Faculty Research Seminar","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"949
Proseminar","001","","13","3.917","76.9","15.4",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"950
PhD Proseminar","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","","9","",".",".",".",".",".",".",".","55.6",".",".",".","44.4",".",".",".","."
"999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","11","3.933","36.4","9.1",".",".",".",".",".","9.1",".",".",".",".","27.3",".","18.2","."
