"L&S","","","","","","","","","","","","","","","","","","","",""
"AFRICAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"Literary Legacy of Arabs","120
001","","15","3.885","73.3","6.7","6.7",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"Intro-African Lang and Lit","201
001","","71","3.645","56.3","29.6","7.0",".","1.4","1.4","1.4",".",".",".",".",".",".","2.8",".","."
"The African Storyteller","210
001","","92","3.533","53.3","25.0","12.0","2.2","3.3","1.1","2.2",".",".",".",".",".","1.1",".",".","."
"Intro-Yoruba Life & Culture","230
001","","20","3.775","70.0","25.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Hero&Trickster-Oral Traditn","270
001","","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","","42","3.329","21.4","35.7","28.6","9.5","2.4",".",".",".",".",".",".",".","2.4",".",".","."
"","321
001","","11","3.490","36.4","27.3","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
003","","18","3.144","44.4","5.6","22.2",".","22.2","5.6",".",".",".",".",".",".",".",".",".","."
"","321
004","","11","3.537","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
006","","14","3.567","35.7","50.0","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Arabic","Course Total","","54","3.403","38.9","27.8","22.2","1.9","7.4","1.9",".",".",".",".",".",".",".",".",".","."
"","323
003","","21","3.310","52.4","9.5","19.0","4.8","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"","004
323","","14","3.429","42.9","21.4","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Arabic","Course Total","","35","3.357","48.6","14.3","20.0","5.7","8.6",".","2.9",".",".",".",".",".",".",".",".","."
"","331
001","","14","3.883","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","331
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Swahili","Course Total","","19","3.778","78.9","10.5","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Swahili","333
001","","9","3.611","55.6","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st Sem-Lang-South Africa","335
001","","6","3.821","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Sem-Lang-South Africa","337
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Hausa","361
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Islam: Religion and Culture","370
001","","30","3.741","56.7","30.0","10.0",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"","371
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","371
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Yoruba","Course Total","","7","3.931","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Yoruba","373
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Studies-Swahili Lang-Gr","435
001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","445
001","","8","4.000","62.5",".",".",".",".",".",".",".",".",".",".",".","37.5",".",".","."
"","669
001","","6","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","669
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Methods LCTL Learning","670
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"LCTL Directed Study","697
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Mod Afr Lit","901
001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","990
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","8","",".",".",".",".",".",".",".","62.5",".",".",".","12.5","25.0",".",".","."
"Indep Reading & Research","999
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
