"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"","411
012","24","3.896","83.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
411","24","3.391","33.3","29.2","12.5","20.8",".",".",".","4.2",".",".",".",".",".",".",".","."
"Current Topics - Psychology","Course Total","287","3.548","43.9","28.6","19.5","4.9","1.7",".",".","0.7",".",".",".",".","0.7",".",".","."
"Animal Behavior","001
449","104","2.864","21.2","12.5","22.1","10.6","30.8","1.0","1.0","1.0",".",".",".",".",".",".",".","."
"","454
001","69","3.522","43.5","31.9","15.9","5.8","1.4","1.4",".",".",".",".",".",".",".",".",".","."
"","454
002","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Behavioral Neuroscience","Course Total","80","3.531","42.5","33.8","16.3","5.0","1.3","1.3",".",".",".",".",".",".",".",".",".","."
"Honors Lab-Behavrl Neurosci","485
001","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cognitive Development","001
502","84","3.226","27.4","17.9","40.5","3.6","9.5","1.2",".",".",".",".",".",".",".",".",".","."
"Human Emotions:Biology-Culture","508
001","90","3.318","32.2","28.9","20.0","8.9","5.6","1.1","1.1",".",".",".",".",".",".",".","2.2","."
"","509
001","266","3.241","18.4","36.5","27.8","11.7","4.5","1.1",".",".",".",".",".",".",".",".",".","."
"","002
509","15","3.567","33.3","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Abnormal Psychology","Course Total","281","3.258","19.2","37.0","27.4","11.0","4.3","1.1",".",".",".",".",".",".",".",".",".","."
"Behavior Pathology:Neuroses","511
001","100","2.969","19.0","18.0","26.0","16.0","15.0","4.0",".","1.0",".",".",".",".",".",".",".","1.0"
"Psychology of Women","522
001","30","3.414","30.0","33.3","23.3","6.7","3.3",".",".","3.3",".",".",".",".",".",".",".","."
"Neurobiology","523
001","35","3.243","20.0","34.3","37.1","2.9","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"Criminal Mind:Forensics/Scienc","526
001","106","3.354","20.8","46.2","23.6","3.8","4.7","0.9",".",".",".",".",".",".",".",".",".","."
"","530
001","108","3.019","25.0","17.6","18.5","19.4","16.7","2.8",".",".",".",".",".",".",".",".",".","."
"","530
003","11","3.818","81.8","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","Course Total","119","3.092","30.3","16.8","16.8","18.5","15.1","2.5",".",".",".",".",".",".",".",".",".","."
"Hormones and Behavior","556
001","26","3.792","65.4","15.4","11.5",".",".",".",".",".",".",".",".",".","3.8","3.8",".","."
"Child Psychology","560
001","195","3.010","21.0","18.5","32.3","10.3","10.8","5.1","1.0","1.0",".",".",".",".",".",".",".","."
"Adult Developmnt & Aging","001
564","65","2.885","15.4","18.5","27.7","23.1","7.7","6.2","1.5",".",".",".",".",".",".",".",".","."
"Honors Depth Topic","581
001","17","3.688","58.8","17.6","11.8","5.9",".",".",".",".",".",".",".",".","5.9",".",".","."
"Honors Cognitive Development","001
582","14","3.464","42.9","7.1","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Seminar-Social Psych","585
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Smr-Abnormal Psych","589
001","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","610
001","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","610
002","14","3.643","50.0","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Anal-Psych Experiments","Course Total","27","3.611","44.4","37.0","14.8","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Research Topics","618
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
006","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
016","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","620
017","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","022
620","13","3.833","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
023","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
038","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","Page 286 of 403",""
