"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"Technical Info Resources","151
001","14","3.571","78.6",".","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","155
001","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
002","20","3.475","30.0","45.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","155
003","22","3.773","72.7","13.6","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","155
004","20","3.000","25.0","10.0","25.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","155
005","19","3.105","10.5","36.8","31.6","5.3","15.8",".",".",".",".",".",".",".",".",".",".","."
"","155
006","19","3.184","21.1","36.8","15.8","10.5","15.8",".",".",".",".",".",".",".",".",".",".","."
"","155
007","20","3.175","10.0","45.0","25.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","155
008","18","2.861","16.7","22.2","33.3","5.6","11.1","5.6","5.6",".",".",".",".",".",".",".",".","."
"","155
009","20","3.775","70.0","15.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
010","17","3.412","23.5","47.1","23.5",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","155
011","19","3.237","15.8","47.4","31.6",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","155
012","18","3.139","11.1","50.0","16.7","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","155
013","20","3.275","20.0","45.0","20.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","155
014","18","2.889","5.6","33.3","33.3","11.1","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","270","3.309","30.4","32.6","21.5","6.3","7.0","1.1","1.1",".",".",".",".",".",".",".",".","."
"","275
001","17","3.676","41.2","52.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
275","19","3.816","63.2","36.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","20","3.375","20.0","35.0","45.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
275","18","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
005","19","3.632","47.4","31.6","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
006","15","3.567","40.0","40.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","108","3.602","40.7","39.8","18.5","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"","374
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","374
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese I","Course Total","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elems: Comp-Assist Publishg","001
395","6","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","397
001","22","3.238","31.8","4.5","40.9","13.6","4.5",".",".",".",".",".",".",".",".","4.5",".","."
"","002
397","18","3.529","38.9","22.2","33.3",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","397
003","18","3.222","16.7","50.0","22.2","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"","397
004","23","3.295","17.4","26.1","47.8","4.3",".",".",".",".",".",".",".",".","4.3",".",".","."
"","005
397","15","3.000","13.3","60.0","6.7","6.7",".",".","13.3",".",".",".",".",".",".",".",".","."
"","397
006","18","3.176","16.7","16.7","44.4","16.7",".",".",".",".",".",".",".",".","5.6",".",".","."
"","397
007","20","3.275","35.0","15.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","397
008","23","3.435","17.4","60.9","13.0","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","397
009","17","3.500","23.5","52.9","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
010","20","3.026","10.0","30.0","25.0","15.0","15.0",".",".",".",".",".",".",".","5.0",".",".","."
"","397
011","20","3.000","10.0","35.0","25.0","15.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","397
012","21","3.095","28.6","23.8","23.8","14.3",".","4.8","4.8",".",".",".",".",".",".",".",".","."
"","397
013","23","3.370","13.0","47.8","39.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","015
397","19","3.026","5.3","36.8","42.1","10.5",".",".","5.3",".",".",".",".",".",".",".",".","."
"","397
016","19","3.316","10.5","52.6","31.6",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","397
017","19","3.158",".","47.4","36.8","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","Course Total","315","3.232","18.1","35.9","30.8","8.6","2.9","0.6","1.6",".",".",".",".",".","1.3","0.3",".","."
"Tech Communications Intrshp","001
398","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","Page 126 of 403",""
