"L&S","","","","","","","","","","","","","","","","","","","",""
"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","",""
"338
001
Peer Mentor 1st-Yr Lib Ed Smr","13","4.000","100.0",".",".",".",".",".",".",".",".","",".",".",".","",".",".",".","."
"357
001
Peer Mentor Seminar","16","4.000","100.0",".",".",".",".",".",".",".",".","",".",".",".","",".",".",".","."
"371
001
Interdis in Arts & Humanities","6","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".","",".",".",".","",".",".",".","."
"400
001
Capstone Integration Seminar","4","***","","","","","","","","","","",".",".",".","",".",".",".","."
"ILS
Dept. Total
500","888","3.516","43.6","15.9","10.0","2.5","2.0","0.9","0.9","0.8","",".","22.6","0.3","",".","0.2",".","0.1","0.1"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","362","3.565","35.1","14.9","6.1","2.5","1.4",".","0.3",".","",".","39.0","0.8","",".",".",".",".","."
"Sophomore","263","3.571","48.3","14.8","10.3","1.5","1.9","0.4","0.8",".","",".","21.7",".","",".","0.4",".",".","."
"Junior","135","3.496","54.1","15.6","19.3","1.5","3.7","1.5","1.5",".","",".","2.2",".","",".",".",".",".","0.7"
"Senior","119","3.434","50.4","22.7","10.9","5.9","2.5","4.2","1.7","0.8","",".",".",".","",".","0.8",".",".","."
"Undergraduates","879","3.524","44.0","16.0","10.0","2.5","2.0","0.9","0.8","0.1","",".","22.9","0.3","",".","0.2",".",".","0.1"
"Special","9","1.500",".",".","11.1",".",".",".","11.1","66.7","",".",".",".","",".",".",".","11.1","."
"Dept. Total","888","3.516","43.6","15.9","10.0","2.5","2.0","0.9","0.9","0.8","",".","22.6","0.3","",".","0.2",".","0.1","0.1"
