"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"990","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","089","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","092","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","098","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","40","",".",".",".",".",".",".",".","60.0",".",".",".","40.0",".",".",".","."
"999","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Work-Ag & Appl Economics","Course Total","","2","***","","","","","","","","","","","","","","","",""
