"LITERATURE IN TRANSLATION","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran I","201","001","49","3.313","32.7","26.5","24.5","6.1","6.1",".","2.0","2.0",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran I","203","001","51","3.294","33.3","33.3","15.7","5.9","7.8","2.0","2.0",".",".",".",".",".",".",".",".","."
"The Writings of Vaclav Havel","208","001","15","3.769","60.0","13.3","13.3",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Mod Indian Lits in Translation","211","001","27","3.885","81.5","11.1",".","3.7",".",".",".","3.7",".",".",".",".",".",".",".","."
"Lits of Cent Asia in Translatn","214","001","12","3.727","50.0","33.3","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"V Nabokov: Russ&Amer Writng","223","001","14","3.042","35.7","28.6",".","7.1",".",".","14.3","7.1",".",".",".",".",".","7.1",".","."
"","226","001","15","3.500","26.7","40.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","6.7"
"","226","002","20","3.389","40.0","10.0","30.0",".","10.0",".",".",".",".",".",".",".","5.0","5.0",".","."
"Intro-Luso-Afro-Brazilian Lit","","Course Total","35","3.438","34.3","22.9","28.6",".","5.7",".",".",".",".",".",".",".","2.9","2.9",".","2.9"
"Intro to Biblical Lit","227","001","11","2.773","9.1","27.3","27.3",".","27.3","9.1",".",".",".",".",".",".",".",".",".","."
"Russian Life&Cult (to 1917)","233","001","25","3.462","56.0","8.0","12.0","4.0","4.0","8.0",".",".",".",".",".",".","8.0",".",".","."
"The World of Sagas","235","001","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soviet Lit in Translation","240","001","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Slavic Lit in Translatn","247","001","7","3.429","28.6","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Chinese Lit in Translation","261","001","33","3.970","93.9","6.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Japanese Lit in Translation","263","001","17","3.647","29.4","70.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Yiddish Lit & Culture, Europe","269","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","271","001","23","3.630","43.5","43.5","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","271","002","25","3.740","60.0","32.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Scand LitTran:Mid Ages-1900","","Course Total","48","3.695","52.1","37.5","6.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","275","001","131","2.973","3.8","34.4","42.0","4.6","7.6","4.6","1.5","1.5",".",".",".",".",".",".",".","."
"","275","002","74","3.439","17.6","59.5","20.3","1.4",".","1.4",".",".",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","","Course Total","205","3.175","8.8","43.4","34.1","3.4","4.9","3.4","1.0","1.0",".",".",".",".",".",".",".","."
"Topics-20c German Lit(in Tran)","277","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Vampire in Literature and Film","329","001","239","3.638","46.0","39.3","13.0","0.4","0.8","0.4",".",".",".",".",".",".",".",".",".","."
"Lit in Transl-Isak Dinesen","334","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Israeli Fiction-Translation","367","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Japanese Lit","373","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Korean Literature","374","001","10","3.778","50.0","40.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","410","001","19","3.632","42.1","47.4","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","410","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"In Trans:Topics-Italian Lit","","Course Total","24","3.432","33.3","41.7","8.3","4.2",".",".","4.2",".",".",".",".",".","8.3",".",".","."
"Mod Serb&Croat Lit in Trans","455","001","7","3.417","28.6","28.6","14.3","14.3",".",".",".","14.3",".",".",".",".",".",".",".","."
"Polish Lit(Tran) since 1863","473","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
