"INDUSTRIAL & SYSTEMS ENGR","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","","96","2.724","9.4","13.5","22.9","31.3","17.7","5.2",".",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","","64","3.742","65.6","21.9","9.4","1.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","","47","3.468","42.6","25.5","21.3","4.3","6.4",".",".",".",".",".",".",".",".",".",".","."
"","321","001","","25","3.320","32.0","24.0","28.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"","321","002","","22","3.614","50.0","31.8","13.6",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","","47","3.457","40.4","27.7","21.3","4.3","6.4",".",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","","44","3.057","34.1","9.1","25.0","6.8","20.5","4.5",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","","62","3.758","67.7","22.6","4.8","3.2","1.6",".",".",".",".",".",".",".",".",".",".","."
"Junior Design Laboratory","350","001","","46","3.946","89.1","10.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","","46","3.815","67.4","28.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Systems Engineering","417","001","","35","3.429","40.0","25.7","28.6","2.9",".",".","2.9",".",".",".",".",".",".",".",".","."
"Facilities Planning","510","001","","42","3.452","31.0","50.0","9.5","7.1",".",".","2.4",".",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512","001","","48","3.615","50.0","29.2","16.7","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"","515","001","","51","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","515","002","","51","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Mgt-Cont Proc Imprvmnt","","Course Total","","102","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Decision Making in Health Care","517","001","","30","3.828","66.7","26.7","3.3",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Quality Assurance Systems","520","001","","34","3.882","79.4","17.6","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","11","3.000","27.3","18.2","9.1","36.4",".","9.1",".",".",".",".",".",".",".",".",".","."
"Advanced Linear Programming","526","001","","8","2.688","12.5","62.5",".",".",".",".","25.0",".",".",".",".",".",".",".",".","."
"Cmptr Integratd Manufactrng","605","001","","21","3.405","38.1","28.6","19.0","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"Stochastic Modeling Tech","624","001","","26","3.460","42.3","23.1","15.4","11.5","3.8",".",".","3.8",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Performnc Anal-Manufact Sys","643","001","","13","3.615","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization and Job Design","653","001","","34","3.794","61.8","35.3","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"E-Bus:Technol, Strategy & Appl","671","001","","28","3.911","82.1","17.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","002","","26","3.846","73.1","23.1","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","003","","31","3.468","29.0","54.8","12.9",".",".",".","3.2",".",".",".",".",".",".",".",".","."
"","691","004","","15","3.464","60.0","13.3","6.7","6.7",".",".","6.7","6.7",".",".",".",".",".",".",".","."
"","691","005","","17","3.912","94.1",".",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","","Course Total","","89","3.628","59.6","28.1","6.7","2.2",".",".","2.2","1.1",".",".",".",".",".",".",".","."
"","699","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
