"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"","743
002","16","1.375","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","Course Total","30","1.375","13.3",".","6.7",".",".",".",".","46.7",".",".",".",".",".",".",".","."
"Administrative Law","744
001","47","1.400","12.8",".","27.7",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Labor Relations Law","745
001","39","1.410","20.5",".","12.8",".","10.3",".",".",".",".",".",".",".",".",".",".","."
"Antitrust","748
001","11","1.100","18.2",".","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Intro-Intellectual Proprty Law","753
001","19","1.000","15.8",".","5.3",".","5.3",".",".","10.5",".",".",".",".",".",".",".","."
"Consumer Health Advocacy","768
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","771
001","60","1.308","16.7",".","6.7",".","13.3",".",".","13.3",".",".",".",".",".",".",".","."
"","771
002","56","1.283","10.7",".","16.1",".","7.1",".",".","17.9",".",".",".",".",".",".",".","."
"","771
003","20","0.900",".",".","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Estate Planning","Course Total","136","1.203","11.8",".","14.0",".","8.8",".",".","13.2",".",".",".",".",".",".",".","."
"","801
001","64","1.327","14.1",".","10.9",".","6.3",".",".","23.4",".",".",".",".",".",".",".","."
"","002
801","60","1.060","8.3",".","10.0",".","11.7","1.7",".","16.7",".",".",".",".",".",".",".","."
"Evidence","Course Total","124","1.192","11.3",".","10.5",".","8.9","0.8",".","20.2",".",".",".",".",".",".",".","."
"","802
001","60","0.964","6.7",".","16.7",".","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"","802
002","27","1.240","7.4",".","25.9",".","3.7",".",".","7.4",".",".",".",".",".",".",".","."
"Civil Procedure II","Course Total","87","1.049","6.9",".","19.5",".","5.7",".",".","6.9",".",".",".",".",".",".",".","."
"Advanced Legal Writing","808
001","18","1.444","11.1",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815
001","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
002","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Appellate Advocacy II","Course Total","33","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Business Organizations I","817
001","50","1.438","10.0",".","32.0",".",".","2.0",".","4.0",".",".",".",".",".",".",".","."
"Insurance Law","825
001","27","1.455","7.4",".","29.6",".",".",".",".","18.5",".",".",".",".",".",".",".","."
"Land Use Controls","001
830","16","1.286","6.3",".","25.0",".","6.3",".",".","12.5",".",".",".",".",".",".",".","."
"Remedies","839
001","25","1.208","16.0",".","12.0",".","8.0",".",".","4.0",".",".",".",".",".",".",".","."
"Pre-Trial Advocacy","849
001","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","850
001","34","1.071","8.8",".","14.7",".","2.9","2.9",".","17.6",".",".",".",".",".",".",".","."
"","850
002","37","1.382","10.8",".","24.3",".","5.4",".","2.7","8.1",".",".",".",".",".",".",".","."
"Professnl Responsibilities","Course Total","71","1.242","9.9",".","19.7",".","4.2","1.4","1.4","12.7",".",".",".",".",".",".",".","."
"","852
001","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
002","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
003","35","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Trial Advocacy","Course Total","53","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
002","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
003","35","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
004","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
005","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
007","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
008","7","",".",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","14.3"
