"ECONOMICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Indust Struct&Comptitv Stratgy","458","001","41","3.598","34.1","51.2","14.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internatl Trade & Finance","464","001","123","3.121","17.1","21.1","33.3","24.4","3.3",".",".",".",".",".",".",".","0.8",".",".","."
"Intl Industrial Organizations","467","001","93","3.020","20.4","17.2","30.1","21.5","7.5","2.2","1.1",".",".",".",".",".",".",".",".","."
"Econ Grwth&Devlpmnt-SE Asia","473","001","18","3.111","27.8","11.1","27.8","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"Game Theory & Economic Anal","521","001","69","2.899","23.2","11.6","21.7","21.7","18.8","2.9",".",".",".",".",".",".",".",".",".","."
"Quant Mthds-Ag & Appl Econ","526","001","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics of Health Care","548","001","35","3.200","22.9","25.7","31.4","8.6","11.4",".",".",".",".",".",".",".",".",".",".","."
"","581","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","581","004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","581","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Housing Economics & Policy","641","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Economics","671","001","13","3.192","38.5","15.4","15.4","7.7","23.1",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Mathematics for Economists","700","001","65","3.346","38.5","13.8","26.2","21.5",".",".",".",".",".",".",".",".",".",".",".","."
"Microeconomics I","701","001","68","3.721","58.8","30.9","5.9","4.4",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Economics I","703","001","41","3.903","61.0","14.6",".",".",".",".",".","24.4",".",".",".",".",".",".",".","."
"Econometrics I","704","001","66","3.409","33.3","27.3","30.3","6.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"Econometrics III","706","001","45","3.556","42.2","40.0","13.3",".","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"Econ Stats & Econometrics I","709","001","54","3.394","24.1","33.3","40.7","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","711","001","56","3.223","21.4","12.5","57.1","7.1","1.8",".",".",".",".",".",".",".",".",".",".","."
"Thry: Macroeconomics Seqnce","712","001","44","3.409","25.0","38.6","29.5","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"Econometric Methods","715","001","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Applied Econometrics","718","002","41","3.628","41.5","39.0","12.2","2.4",".",".",".","2.4",".",".",".",".","2.4",".",".","."
"Labor Economics","750","001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Empir Anal-Ind Org&Pub Pol","762","001","15","4.000","80.0",".",".",".",".",".",".",".",".",".",".",".",".",".","20.0","."
"Adv Microeconomic Theory I","805","001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv International Economics","871","001","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","899","001","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","899","002","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Advances-Economics","","Course Total","20","3.974","90.0","5.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Wrkshp in Math Econ Theory","901","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","903","001","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Econometrics","913","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
