"","699
007","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
011","","15","4.000","100.0",".","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"","699
012","","2","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Neurosurg-Directed Study","Course Total","","45","3.987","97.8","2.2","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"NEURSURG
678","Dept. Total","","45","3.987","97.8","2.2","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"678
NEURSURG","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","3","3.813","66.7","33.3","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","15","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","24","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","43","3.986","97.7","2.3","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","2","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","45","3.987","97.8","2.2","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
