"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"Retail Leadership Symposium","250
001","102","3.868","92.2",".","3.9","1.0","1.0","2.0",".",".",".",".",".",".",".",".",".","."
"","275
001","74","3.090","14.9","31.1","24.3","18.9","4.1","4.1",".","1.4",".",".",".",".",".",".",".","1.4"
"","275
002","84","3.643","53.6","27.4","15.5","1.2","2.4",".",".",".",".",".",".",".",".",".",".","."
"Consumer Finance","Course Total","158","3.388","35.4","29.1","19.6","9.5","3.2","1.9",".","0.6",".",".",".",".",".",".",".","0.6"
"Independent Study","299
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Retailing Theory & Practice","357
001","54","3.676","66.7","18.5","9.3","1.9",".","3.7",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477
001","55","3.191","20.0","40.0","14.5","16.4","5.5","3.6",".",".",".",".",".",".",".",".",".","."
"","501
001","28","3.360","14.3","50.0","14.3","7.1","3.6",".",".","10.7",".",".",".",".",".",".",".","."
"","501
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","006
501","29","3.741","75.9","17.2","3.4",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"","007
501","39","3.192","10.3","38.5","33.3","15.4","2.6",".",".",".",".",".",".",".",".",".",".","."
"","501
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
009","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","130","3.453","44.6","29.2","13.8","7.7","1.5",".","0.8","2.3",".",".",".",".",".",".",".","."
"International Retailing","001
562","22","3.841","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Retail Financial Analysis","564
001","28","3.482","39.3","28.6","21.4","10.7",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Policy","579
001","76","2.783","3.9","26.3","18.4","27.6","22.4","1.3",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Retailing Internship","603
015","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Consumer Finance","627
001","43","3.372","34.9","32.6","18.6","9.3","2.3",".","2.3",".",".",".",".",".",".",".",".","."
"Consumer Behavior","657
001","62","3.645","62.9","22.6","6.5","3.2","1.6","3.2",".",".",".",".",".",".",".",".",".","."
"Household Risk Management","001
665","37","3.149","18.9","29.7","24.3","21.6","2.7","2.7",".",".",".",".",".",".",".",".",".","."
"Independent Study","699
074","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","3","***","","","","","","","","","","","","","","","",""
"","999
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
