"PHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"","103","001","337","3.094","24.9","18.4","21.7","19.9","14.8",".",".",".",".",".",".",".","0.3",".",".","."
"","103","002","274","2.916","20.1","17.2","19.0","19.3","21.9","1.1","1.1",".",".",".",".",".","0.4",".",".","."
"General Physics","","Course Total","611","3.014","22.7","17.8","20.5","19.6","18.0","0.5","0.5",".",".",".",".",".","0.3",".",".","."
"","104","001","199","3.465","43.2","28.6","13.6","9.0","5.0",".","0.5",".",".",".",".",".",".",".",".","."
"","104","002","146","3.521","45.9","28.1","14.4","8.2","2.1",".","0.7","0.7",".",".",".",".",".",".",".","."
"General Physics","","Course Total","345","3.488","44.3","28.4","13.9","8.7","3.8",".","0.6","0.3",".",".",".",".",".",".",".","."
"Ideas of Modern Physics","107","001","46","3.261","26.1","21.7","37.0","13.0",".","2.2",".",".",".",".",".",".",".",".",".","."
"","109","001","141","3.111","18.4","23.4","28.4","22.7","5.7",".","0.7","0.7",".",".",".",".",".",".",".","."
"","109","002","130","3.333","26.2","33.1","24.6","11.5","3.8",".",".","0.8",".",".",".",".",".",".",".","."
"Physics in the Arts","","Course Total","271","3.217","22.1","28.0","26.6","17.3","4.8",".","0.4","0.7",".",".",".",".",".",".",".","."
"Energy","115","001","88","3.787","70.5","19.3","5.7","2.3","1.1",".",".",".",".",".",".",".",".","1.1",".","."
"Directed Study","199","064","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Physics","201","001","323","2.878","18.6","17.6","18.9","21.7","18.0","5.0","0.3",".",".",".",".",".",".",".",".","."
"","202","001","288","3.127","26.4","20.1","19.8","21.2","11.8","0.7",".",".",".",".",".",".",".",".",".","."
"","202","002","186","3.038","18.8","23.7","21.0","21.5","13.4","0.5","0.5",".",".",".",".",".",".","0.5",".","."
"General Physics","","Course Total","474","3.092","23.4","21.5","20.3","21.3","12.4","0.6","0.2",".",".",".",".",".",".","0.2",".","."
"Mod Physics for Engineers","205","001","23","2.804","21.7","4.3","30.4",".","43.5",".",".",".",".",".",".",".",".",".",".","."
"","206","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","206","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","206","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Physics","","Course Total","4","***","","","","","","","","","","","","","","","",""
"General Physics","207","001","294","2.980","22.4","13.3","29.3","20.1","10.9","2.0","2.0",".",".",".",".",".",".",".",".","."
"General Physics","208","001","173","3.197","23.7","23.7","28.3","19.1","4.0","1.2",".",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Modern Physics","241","001","39","3.064","20.5","17.9","43.6","5.1","7.7","2.6","2.6",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","247","001","73","3.205","20.5","32.9","26.0","13.7","5.5",".","1.4",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","249","001","34","3.294","35.3","32.4","8.8","8.8","11.8","2.9",".",".",".",".",".",".",".",".",".","."
"Directed Study","299","099","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","307","001","36","3.514","47.2","38.9","5.6","2.8",".","2.8","2.8",".",".",".",".",".",".",".",".","."
"","307","002","31","3.677","58.1","29.0","6.5","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"Intmed Lab-Mech&Mod Physics","","Course Total","67","3.590","52.2","34.3","6.0","3.0","1.5","1.5","1.5",".",".",".",".",".",".",".",".","."
"Mechanics","311","001","32","2.742","9.4","18.8","25.0","18.8","18.8","3.1","3.1","3.1",".",".",".",".",".",".",".","."
"Elect Circuits & Electronic","321","001","37","3.097","24.3","8.1","45.9","10.8","5.4",".","2.7","2.7",".",".",".",".",".",".",".","."
"Electromagnetic Fields","322","001","42","3.075","21.4","26.2","28.6","7.1","4.8","2.4","4.8",".",".",".",".",".","4.8",".",".","."
"Special Topics in Physics","406","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermal Physics","415","001","36","3.083","30.6","19.4","22.2","8.3","13.9","2.8","2.8",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics","448","001","47","3.340","38.3","21.3","21.3","8.5","10.6",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","498","087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiolgcal Physcs&Dosimetry","501","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Plasmas","525","001","11","3.409","54.5","27.3","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Solid State Physics","551","001","35","3.618","62.9","17.1","8.6",".","5.7","2.9",".",".",".",".",".",".",".","2.9",".","."
"Microscopy of Life","619","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 277 of 403",""
