"PhD Thesis-Risk&Insurance","Course Total","2","***","","","","","","","","","","","","","","","","","","",""
"","999
017","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
079","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Read&Rsch-Risk Mgt&Ins Phd","Course Total","2","***","","","","","","","","","","","","","","","","","","",""
"R M I
241","Dept. Total","426","3.222","33.8","17.4","28.9","5.9","11.5","1.2","0.5","0.5","0.5",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","28","2.929","21.4",".","46.4","7.1","25.0",".",".",".",".",".","",".","",".","",".",".",".","."
"Junior","","105","3.018","27.6","8.6","38.1","5.7","16.2","2.9","1.0",".",".",".","",".","",".","",".",".",".","."
"Senior","","211","3.234","32.2","21.3","27.0","7.6","10.4","0.9","0.5",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","344","3.143","29.9","15.7","32.0","7.0","13.4","1.5","0.6",".",".",".","",".","",".","",".",".",".","."
"Special","","17","3.500","47.1","17.6","11.8",".","11.8",".",".",".","11.8",".","",".","",".","",".",".",".","."
"Graduate","","64","3.615","51.6","25.0","17.2","1.6","1.6",".",".","3.1",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"","Dept. Total","426","3.222","33.8","17.4","28.9","5.9","11.5","1.2","0.5","0.5","0.5",".","",".","",".","",".",".",".","."
