"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"","101
002","14","3.821","85.7","7.1",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","101
003","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Biological Sci","Course Total","28","3.911","92.9","3.6",".",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"","001
102","19","3.368","36.8","31.6","21.1",".","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","002
102","19","3.184","26.3","21.1","42.1","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Humanities","Course Total","38","3.276","31.6","26.3","31.6","2.6","2.6","2.6","2.6",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Social Sci","106
001","18","3.167","27.8","16.7","27.8","16.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Smr: Social&Natural Sci","107
001","19","3.816","63.2","36.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
250","13","3.852","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
250","17","3.923","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
003","16","3.943","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
004","19","3.932","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
250","19","3.872","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
250","16","3.818","93.8",".",".",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","250
007","18","3.872","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
250","19","3.725","63.2","26.3","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","250
009","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","Course Total","153","3.869","80.4","15.7","2.6",".","0.7","0.7",".",".",".",".",".",".",".",".",".","."
"Intrnshp in Liberal Arts & Sci","260
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Paradigms&Process-Acad Inquiry","315
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"L&S Junior/Senior Seminar","400
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"INTER-LS
502","Dept. Total","298","3.733","73.8","15.1","7.0","1.3","1.7","0.7","0.3",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","162","3.634","63.6","18.5","11.1","2.5","3.1","1.2",".",".",".",".",".",".",".",".",".","."
"Sophomore","","77","3.843","81.8","15.6","1.3",".",".",".","1.3",".",".",".",".",".",".",".",".","."
"Junior","","30","3.871","83.3","10.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","298","3.733","73.8","15.1","7.0","1.3","1.7","0.7","0.3",".",".",".",".",".",".",".",".","."
"","Dept. Total","298","3.733","73.8","15.1","7.0","1.3","1.7","0.7","0.3",".",".",".",".",".",".",".",".","."
