"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"","100","001","17","3.206","23.5","23.5","41.2","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"","100","002","17","3.588","23.5","70.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Freshman Topics Seminar","","Course Total","34","3.397","23.5","47.1","23.5","2.9",".","2.9",".",".",".",".",".",".",".",".",".","."
"Intro-Internatl Relations","103","001","316","2.965","18.7","21.8","24.4","18.0","10.1","4.1","1.9","0.6",".",".",".",".","0.3",".",".","."
"Intro-Amer Politcs&Governmt","104","001","279","2.797","14.7","14.7","25.4","20.1","17.6","2.9","2.9","1.1",".",".",".",".","0.4","0.4",".","."
"Intro-Comparative Politics","106","001","189","2.997","9.0","32.8","27.0","18.5","10.1","1.6","1.1",".",".",".",".",".",".",".",".","."
"Intro to American Politics","184","001","12","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Comp Politics(Honors)","186","001","20","3.675","55.0","30.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in Poli Sci","201","002","17","2.735",".","41.2","29.4","11.8","5.9",".","11.8",".",".",".",".",".",".",".",".","."
"Intro to Political Theory","209","001","161","3.571","49.7","18.6","23.6","2.5","2.5",".",".","1.2",".",".",".",".",".",".","1.9","."
"Law, Politics and Society","217","001","19","3.263","21.1","36.8","26.3","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to Public Policy","219","001","45","3.061","17.8","28.9","17.8","8.9","15.6",".","2.2",".",".",".",".",".","6.7",".","2.2","."
"SE Asia:Vietnam to Philipns","244","001","16","3.406","56.3","18.8","6.3","12.5",".",".","6.3",".",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","14","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Political Choice and Strategy","274","001","93","2.761","29.0","10.8","17.2","12.9","14.0","7.5","7.5",".",".",".",".",".","1.1",".",".","."
"Africa: Introductory Survey","277","001","36","3.292","5.6","52.8","36.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Prin-International Law","316","001","164","3.250","20.7","36.6","26.2","8.5","6.1","1.8",".",".",".",".",".",".",".",".",".","."
"Terrorism","319","001","61","3.136","37.7","14.8","19.7","4.9","11.5","6.6","1.6","3.3",".",".",".",".",".",".",".","."
"Eur Union:Politics&Pol Econ","338","001","54","3.194","20.4","33.3","20.4","16.7","9.3",".",".",".",".",".",".",".",".",".",".","."
"China in World Politics","346","001","52","3.413","32.7","38.5","15.4","5.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"African Intl Relations","362","001","32","3.018","12.5","28.1","15.6","25.0","3.1",".","3.1","9.4",".",".",".",".","3.1",".",".","."
"Internat'l Political Economy","371","001","55","3.111","14.5","23.6","36.4","16.4","7.3",".",".",".",".",".",".",".","1.8",".",".","."
"Anal of Internatl Relations","376","001","42","2.893","14.3","23.8","28.6","16.7","9.5","2.4","4.8",".",".",".",".",".",".",".",".","."
"Conflict Resolution","378","001","41","2.900","19.5","17.1","29.3","17.1","4.9","4.9","4.9",".",".",".",".",".",".",".","2.4","."
"","400","001","9","3.778","88.9",".",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","400","002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","003","7","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Science","","Course Total","32","3.772","84.4","6.3","3.1","3.1","3.1",".",".",".",".",".",".",".",".",".",".","."
"","401","001","39","3.054","15.4","25.6","25.6","10.3","17.9",".",".",".",".",".",".",".",".",".","5.1","."
"","401","004","18","3.333","5.6","44.4","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","401","005","22","3.690","63.6","13.6","9.1","9.1",".",".",".","4.5",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","79","3.295","26.6","26.6","22.8","7.6","8.9",".",".","5.1",".",".",".",".",".",".","2.5","."
"Constitutional Law","411","001","100","3.480","29.0","43.0","24.0","2.0",".","1.0",".","1.0",".",".",".",".",".",".",".","."
"Supreme Ct as Pol Instit","414","001","35","3.500","40.0","31.4","20.0","5.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"American Judicial System","417","001","29","3.397","37.9","24.1","24.1","6.9","6.9",".",".",".",".",".",".",".",".",".",".","."
"Citiznshp, Democrcy&Difference","425","001","12","3.773","58.3","25.0","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"United States Congress","426","004","34","3.397","29.4","41.2","8.8","20.6",".",".",".",".",".",".",".",".",".",".",".","."
"Legislative Internship","427","001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Politics of Govt Regulation","446","001","23","3.773","60.9","26.1","8.7",".",".",".",".",".",".",".",".",".",".",".","4.3","."
"Campaign Finance","466","001","92","3.028","17.4","13.0","41.3","16.3","4.3","1.1","2.2","4.3",".",".",".",".",".",".",".","."
"The First Amendment","470","001","122","3.182","24.6","27.0","18.0","16.4","9.0","1.6",".","3.3",".",".",".",".",".",".",".","."
