"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"431","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"431","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"431","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"431","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","","13","2.654","23.1","7.7","23.1",".","30.8","15.4",".",".",".",".",".",".",".",".",".","."
"456
Appl Multivariate Analysis","001","","23","3.348","34.8","34.8","21.7",".","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"475
Intro-Combinatorics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"479
Spec Topics in Stats","001","","28","3.071","17.9","21.4","39.3",".","21.4",".",".",".",".",".",".",".",".",".",".","."
"511
Intro to Biostat Mthd-Pub Hlth","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"525
Linear Programming Methods","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"541
Intro to Biostatistics","001","","22","3.619","31.8","54.5","9.1",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"571","001","","58","3.586","43.1","32.8","22.4","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"571","002","","57","3.527","31.6","40.4","26.3",".",".",".",".","1.8",".",".",".",".",".",".",".","."
"571","003","","27","3.407","40.7","14.8","29.6","14.8",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","142","3.528","38.0","32.4","25.4","3.5",".",".",".","0.7",".",".",".",".",".",".",".","."
"609","001","","28","3.481","25.0","42.9","28.6",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"609","002","","28","3.554","39.3","32.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Statistics I","Course Total","","56","3.518","32.1","37.5","28.6",".",".",".",".","1.8",".",".",".",".",".",".",".","."
"632
Intro-Stochastic Processes","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"641
Stat Mthds for Clin Trials","001","","24","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","231","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"681","299","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"682
Senior Honors Thesis","231","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692
Special Topics-Statistics","001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","130","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","256","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","261","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","299","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"709
Mathematical Statistics","001","","19","3.474","47.4","21.1","21.1",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"726
Nonlinear Optimization I","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"733","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"733","002","","15","3.300","26.7","6.7","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Probability I","Course Total","","17","3.206","23.5","5.9","64.7",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"760
Multivariate Analysis I","001","","26","3.800","61.5","30.8","3.8",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"809
Non Parametric Statistics","001","","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"833
Topics in Probability","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 311 of 403",""
