"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"278","002","","11","3.591","54.5","27.3","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"278","003","","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in German Culture","Course Total","","17","3.529","47.1","23.5","23.5",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"284
Honors Intro to German Lit","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"305
Lit des 20. & 21. Jahrhunderts","001","","17","3.063","23.5","35.3","11.8","11.8",".","5.9","5.9","5.9",".",".",".",".",".",".",".","."
"311","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"311","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem Dutch-Grad Stdts","Course Total","","3","***","","","","","","","","","","","","","","","",""
"313
3rd Sem Dutch-Grad Stdts","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"337
Adv Compositn & Conversatn","002","","16","3.469","43.8","43.8","6.3",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"351
Intro to German Linguistics","001","","21","3.452","52.4","14.3","9.5","19.0","4.8",".",".",".",".",".",".",".",".",".",".","."
"372","002","","21","3.738","61.9","23.8","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"372","003","","14","3.214","21.4","21.4","42.9","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Topics in German Culture","Course Total","","35","3.529","45.7","22.9","25.7","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"385
Honors Seminar-German Lit","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"391
German for Grad Reading I","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"401","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem German for Grad Stdts","Course Total","","8","3.688","75.0",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"402","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"402","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"402","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem German for Grad Stdts","Course Total","","3","***","","","","","","","","","","","","","","","",""
"403","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"403","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Sem German for Grad Stdts","Course Total","","3","***","","","","","","","","","","","","","","","",""
"404
4th Sem German for Grad Stdts","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"650
History-German Language","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"676
Adv Seminar in German Studies","001","","16","3.281","31.3","25.0","25.0","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"681
Sr Honors Thesis-1st Sem","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Directed Study","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"708
19th Century German Literature","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"724","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"724","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"724","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Teach Undergrad Ling","Course Total","","3","***","","","","","","","","","","","","","","","",""
"727
Topics-Applied Linguistics","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"755
Old Germanic Languages","001","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"758","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"758","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 222 of 403",""
