"DANCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"","1
001","12","3.542","58.3","8.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","002
1","24","3.565","79.2","4.2",".","4.2",".",".","8.3",".",".",".",".",".",".",".",".","4.2"
"","1
003","10","3.450","70.0","10.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","1
004","24","3.739","66.7","8.3","20.8",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","1
005","9","3.667","77.8",".","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","1
006","43","3.964","93.0","2.3","2.3",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"","007
1","45","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","1
008","21","3.950","90.5",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","4.8"
"Workshop in Dance Activity","Course Total","188","3.810","82.4","5.9","5.9","1.6","0.5",".","1.6","0.5",".",".",".",".","0.5",".",".","1.1"
"Contemporary Dance I","11
001","28","3.821","85.7","7.1",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","111
001","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
111","19","3.686","63.2","15.8","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Cont Dance Technique&Theory I","Course Total","37","3.758","64.9","21.6","8.1","2.7","2.7",".",".",".",".",".",".",".",".",".",".","."
"Workshop in World Dance","116
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
001","24","4.000","95.8",".",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","002
118","28","3.907","89.3",".","3.6","3.6",".",".",".",".",".",".",".",".","3.6",".",".","."
"African Dance","Course Total","52","3.950","92.3",".","1.9","1.9",".",".",".","1.9",".",".",".",".","1.9",".",".","."
"Asian American Movement","121
001","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I","125
001","17","3.536","41.2","23.5","23.5","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"Ballet Technique I-B","126
001","23","3.663","47.8","34.8","8.7","4.3",".",".",".","4.3",".",".",".",".",".",".",".","."
"","135
001","33","3.677","54.5","27.3","6.1","3.0","3.0",".",".","3.0",".",".",".",".","3.0",".",".","."
"","135
002","34","3.483","44.1","17.6","11.8","8.8","5.9",".",".","11.8",".",".",".",".",".",".",".","."
"","135
003","33","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pilates Mat I","Course Total","100","3.681","60.0","18.0","9.0","4.0","3.0",".",".","5.0",".",".",".",".","1.0",".",".","."
"Pilates Equipment Lab I","136
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production","140
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collaborative Arts Workshop","159
001","14","3.679","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Year Workshop","162
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"World Dance Cultures","165
001","25","3.660","52.0","36.0","8.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","2
001","41","3.808","75.6","9.8","4.9","2.4","2.4",".",".","4.9",".",".",".",".",".",".",".","."
"","2
002","34","3.758","76.5","2.9","8.8","8.8",".",".",".","2.9",".",".",".",".",".",".",".","."
"","2
003","39","3.803","79.5","5.1","7.7","2.6","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"","2
004","42","3.863","78.6","11.9","2.4",".","2.4",".",".","4.8",".",".",".",".",".",".",".","."
"","005
2","48","3.856","83.3","6.3","2.1",".",".",".","2.1","4.2","2.1",".",".",".",".",".",".","."
"Ballroom Dance I","Course Total","204","3.821","78.9","7.4","4.9","2.5","1.5",".","0.5","3.9","0.5",".",".",".",".",".",".","."
"Writing the Moving Body","200
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
001","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
002","10","3.844","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Dance Tech & Th III","Course Total","22","3.823","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"New Movement Techniques","213
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique II","225
001","13","3.479","30.8","30.8","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Dance/Movemnt Therapy","231
001","17","4.000","82.4",".",".",".",".",".",".","5.9",".",".",".",".","11.8",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 98 of 403"
