"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","356","3.655","59.3","23.6","11.2","3.9","0.6","0.3","0.8",".",".",".",".",".",".",".",".","0.3"
"Voice Training","140
001","18","3.472","44.4","27.8","16.7",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","150
001","18","3.778","66.7","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","002
150","19","3.694","57.9","21.1","10.5","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"","150
003","15","3.533","60.0","13.3","13.3",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"","150
004","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
150","19","3.737","63.2","31.6",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","006
150","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
010","19","3.605","52.6","26.3","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","121","3.754","69.4","19.0","5.8","1.7","3.3",".",".","0.8",".",".",".",".",".",".",".","."
"Intro to Stage Production","160
001","21","3.475","47.6","33.3","4.8",".","4.8",".","4.8","4.8",".",".",".",".",".",".",".","."
"","161
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","16","3.967","87.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"Theatre Production Laboratory","162
001","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"History-Theatrical Production","224
001","25","3.771","80.0","12.0",".",".",".",".","4.0",".",".",".",".",".",".","4.0",".","."
"","250
001","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
250","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","27","3.907","81.5","18.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Stage Lighting Technology","266
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Javanese Performance","321
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentals-Movemnt for Stage","342
001","9","3.556","88.9",".",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Acting Realism","350
001","14","3.143","21.4","42.9","14.3","14.3",".",".","7.1",".",".",".",".",".",".",".",".","."
"","357
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
002","19","3.605","36.8","47.4","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
357","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","Course Total","46","3.815","69.6","23.9","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","001
361","11","3.944","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
001","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
362","9","3.667","88.9",".",".",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"Drama in Education","Course Total","24","3.750","79.2","8.3","8.3",".",".","4.2",".",".",".",".",".",".",".",".",".","."
"Prin&Pract-Stage Costume Dsgn","363
001","9","3.734","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","366
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","366
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","Course Total","14","3.894","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Directing","368
001","14","3.808","57.1","35.7",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Drafting for the Theatre","370
001","6","3.714","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Set Design I","372
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Stage Management","379
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","Page 313 of 403",""
