"L&S","","","","","","","","","","","","","","","","","","","","",""
"LANG & CULTURES OF ASIA - L","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","",""
"Fifth Semester Kazak","531","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Turkish & Azeri","539","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Persian","563","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Urdu","571","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"7th Semester Asian Language","601","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Reading-Turkic Languages","631","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Readings in Tibetan","677","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"LCA LANG
522","","Dept. Total","","221","3.825","76.5","12.7","8.1","1.4","0.5",".",".",".",".",".",".",".","0.5","0.5",".","."
