"GENETICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"160
Heredity","001","","105","2.971","29.5","7.6","33.3","3.8","18.1","6.7","1.0",".",".",".",".",".",".",".",".","."
"299","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","019","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","070","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","094","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","37","3.947","94.6",".","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"466
General Genetics","001","","147","2.627","15.0","10.9","20.4","17.0","25.2","8.8","2.0",".",".",".",".",".",".",".","0.7","."
"470
Basic Cytology & Lab Procudure","001","","8","3.188","12.5","25.0","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"545","001","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"545","002","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genetics Laboratory","Course Total","","17","3.735","64.7","17.6","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Molec Approach-Crop Improvt","001","","7","2.286","14.3",".","42.9",".","14.3","14.3","14.3",".",".",".",".",".",".",".",".","."
"565
Human Genetics","001","","59","3.059","20.3","22.0","27.1","13.6","15.3","1.7",".",".",".",".",".",".",".",".",".","."
"567
Companion Research Seminar","001","","16","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
The Female Reproductive System","001","","8","3.375","25.0","37.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"571
Clinical Practice I","001","","8","3.438","37.5","12.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"572
The Respiratory System","001","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"573
The Genitourinary System","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"607
Advanced Microbial Genetics","001","","8","3.688","75.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"612
Prokaryotic Molecular Biol","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"633
Population Genetics","001","","21","3.500","52.4","9.5","19.0","9.5","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"655
Biol & Genetics-Filament Fungi","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"677","001","","15","3.600","46.7","26.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"677","011","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Topics in Genetics","Course Total","","23","3.846","65.2","17.4","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
