"COMPUTER SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"752
Adv Computer Architecture I","001","","11","3.318","36.4","45.5","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"760
Machine Learning","001","","39","3.679","59.0","17.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"770
Human-Computer Interaction","001","","36","3.639","38.9","50.0","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"784
Data Models and Languages","001","","22","3.818","68.2","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"787
Advanced Algorithms","001","","21","3.625","52.4","19.0","19.0","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"799","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","006","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"799","022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","029","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","033","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","038","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"799","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","080","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","082","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","097","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","101","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","120","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research","Course Total","","101","",".",".",".",".",".",".",".","96.0",".",".",".",".",".",".","4.0","."
"838
Topics in Computing","001","","20","3.789","55.0","40.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"841
Computational Cognitive Sci","001","","30","3.833","26.7","13.3",".",".",".",".",".","3.3",".",".",".",".","40.0",".","16.7","."
"899","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"899","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 195 of 403",""
