"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"940","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"940","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics Seminar-Educ Leadership","Course Total","","87","3.928","81.6","8.0","2.3",".",".",".",".",".",".",".",".",".","8.0",".",".","."
"990","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","15","",".",".",".",".",".",".",".","60.0",".",".",".","26.7",".","13.3",".","."
"990","042","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","6","",".",".",".",".",".",".",".","83.3",".",".",".",".","16.7",".",".","."
"990","063","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","60","",".",".",".",".",".",".",".","80.0","1.7",".",".","13.3","1.7","3.3",".","."
"999","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","057","","15","4.000","86.7",".",".",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"999","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","203","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","35","3.993","80.0","2.9",".",".",".",".",".",".",".",".",".",".","17.1",".",".","."
