"COMMUNITY & ENVIRONMENTA Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"864
C&E SOC","","","","","","","","","","","","","","","","","","","","",""
"Intro-Community & Envir Soc","140","001","","47","3.021","8.5","29.8","36.2","17.0","6.4",".","2.1",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210","001","","26","3.365","23.1","38.5","30.8","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ag&Soc Change-Western Hist","230","001","","58","3.456","41.4","29.3","15.5","8.6","1.7",".","1.7",".",".",".",".",".","1.7",".",".","."
"Envir, Nat Resources & Society","248","001","","21","3.667","52.4","38.1","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues in Food Systems","340","001","","19","3.895","89.5",".","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","357","001","","27","3.426","33.3","29.6","29.6","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","360","001","","29","2.845","10.3","27.6","17.2","17.2","24.1","3.4",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Computing-Sociologcl Resrch","365","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","375","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","","Course Total","","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"People, Wildlife & Landscapes","434","001","","16","2.656","6.3","18.8","25.0","12.5","31.3","6.3",".",".",".",".",".",".",".",".",".","."
"Capstone Experience","500","001","","23","3.696","73.9",".","21.7",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Envir Stwrdshp & Soc Justice","541","001","","28","3.446","35.7","28.6","25.0","10.7",".",".",".",".",".",".",".",".",".",".",".","."
"Poverty and Place","578","001","","6","3.600","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Soc:Devlp Societies/3rd Wld","630","001","","18","3.500","38.9","27.8","16.7","11.1",".",".",".","5.6",".",".",".",".",".",".",".","."
"Special Problems","699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intmed Soc Psych-Indiv&Scty","730","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","875","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Class Analysis&Hist Change","929","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr: Sociol-Econ Change","940","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Latin American Area","982","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch: Race & Ethnic Studies","987","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Research:Soc of Econ Chnge","993","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch: Methodology Trainees","995","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Demogrphy&Ecol Trainee","997","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","071","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","","Course Total","","5","***","","","","","","","","","","","","","","","",""
