"INTEGRATED LIBERAL STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"","138
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
138","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
004","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
005","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
006","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
007","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
138","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
138","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
010","11","3.500","81.8",".",".","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"","138
011","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
012","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
138","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
014","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
015","11","3.636","54.5","36.4",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"CRC 1st Yr Smr: Lib Arts Educ","Course Total","158","3.861","82.3","13.3","2.5","0.6","0.6",".","0.6",".",".",".",".",".",".",".",".","."
"","157
001","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
002","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
003","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
004","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
005","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
006","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
007","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
008","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
009","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"","157
010","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"","157
011","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
012","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
013","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
014","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
015","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
016","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
017","9","",".",".",".",".",".",".",".",".",".","88.9","11.1",".",".",".",".","."
"Bradley Roundtable Seminar","Course Total","204","",".",".",".",".",".",".",".",".",".","98.5","1.5",".",".",".",".","."
"Directed Study","199
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Critical Thinkng & Expressn","200
001","65","3.900","83.1","13.8","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"W Culture:Sci,Tech,Philos I","201
001","118","3.283","37.3","22.9","22.9","6.8","1.7","1.7","4.2","1.7",".",".",".",".",".",".",".","0.8"
"West Culture:Lit&The Arts I","203
001","143","3.401","35.7","30.8","21.0","4.2","6.3","1.4",".","0.7",".",".",".",".",".",".",".","."
"W Cult:Pol,Econ&Soc Thght I","205
001","66","3.347","22.7","40.9","19.7","6.1","3.0",".","1.5","6.1",".",".",".",".",".",".",".","."
"Contemporary Life Sciences","252
001","34","2.956","29.4","14.7","26.5","5.9","11.8","8.8","2.9",".",".",".",".",".",".",".",".","."
"","275
001","33","3.938","84.8","12.1",".",".",".",".",".",".",".",".",".",".","3.0",".",".","."
"","275
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
275","7","3.500","42.9",".","42.9",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","275
004","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in ILS","Course Total","57","3.898","80.7","8.8","5.3",".",".",".",".",".",".",".",".",".","3.5",".","1.8","."
