"FRENCH (FRENCH AND ITALIAN) Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"Course Total
Individual Research","18","",".",".",".",".",".",".",".","77.8",".",".",".","22.2","",".",".",".","."
"FRENCH
Dept. Total
400","1079","3.513","43.2","32.0","14.9","3.7","1.9","0.8","0.6","2.3",".",".",".","0.5","",".",".","0.1","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"Freshmen","278","3.453","33.1","39.9","20.1","3.2","1.8","1.1","0.7",".",".",".",".",".","",".",".",".","."
"Sophomore","206","3.455","35.9","39.3","15.0","3.9","3.9","0.5","1.0","0.5",".",".",".",".","",".",".",".","."
"Junior","208","3.465","42.3","28.8","20.2","6.3","1.0","1.0","0.5",".",".",".",".",".","",".",".",".","."
"Senior","222","3.550","50.0","30.2","10.8","3.6","2.3","1.4","0.5","0.9",".",".",".","0.5","",".",".",".","."
"Undergraduates","914","3.478","39.9","34.9","16.7","4.2","2.2","1.0","0.7","0.3",".",".",".","0.1","",".",".",".","."
"Special","42","3.768","64.3","19.0","7.1","2.4",".",".",".","4.8",".",".",".",".","",".",".","2.4","."
"Graduate","121","3.800","59.5","14.9","4.1","0.8",".",".","0.8","16.5",".",".",".","3.3","",".",".",".","."
"Prof Yr 3","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Prof Yr 4","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Professionals","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Dept. Total","1079","3.513","43.2","32.0","14.9","3.7","1.9","0.8","0.6","2.3",".",".",".","0.5","",".",".","0.1","."
