"GEOSCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOSCI","","","","","","","","","","","","","","","","","","","",""
"","100","001","136","2.966","18.4","21.3","19.9","23.5","12.5","0.7","2.2","1.5",".",".",".",".",".",".",".","."
"","100","002","136","3.022","24.3","17.6","19.1","25.0","11.8",".","2.2",".",".",".",".",".",".",".",".","."
"General Geology","","Course Total","272","2.994","21.3","19.5","19.5","24.3","12.1","0.4","2.2","0.7",".",".",".",".",".",".",".","."
"Climate and Climate Change","102","001","6","2.833","50.0",".","16.7",".",".","33.3",".",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","96","2.922","15.6","13.5","30.2","25.0","14.6",".","1.0",".",".",".",".",".",".",".",".","."
"Evolution and Extinction","110","001","205","2.587","16.1","5.9","26.8","9.3","27.3","11.7","1.5","1.0",".",".",".",".",".","0.5",".","."
"Volcanoes and Civilization","111","001","80","3.164","31.3","15.0","27.5","11.3","3.8","5.0","1.3","1.3",".",".",".",".",".","2.5","1.3","."
"Mountains and Moving Plates","112","001","98","2.935","27.6","18.4","12.2","4.1","25.5","3.1","3.1","6.1",".",".",".",".",".",".",".","."
"Life in Earth's Extreme Envir","117","001","39","3.218","12.8","30.8","46.2","7.7","2.6",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geologic Structures","202","001","85","2.970","22.4","8.2","37.6","7.1","21.2","2.4",".",".",".",".",".",".","1.2",".",".","."
"Geobiology","304","001","39","3.129","25.6","15.4","20.5","12.8","15.4",".",".","10.3",".",".",".",".",".",".",".","."
"Gems: Sci Behind the Sparkle","331","001","192","3.308","34.9","27.1","20.8","5.7","6.3","3.6","0.5","1.0",".",".",".",".",".",".",".","."
"Principles of Mineralogy","360","001","76","2.940","18.4","13.2","34.2","9.2","21.1","2.6",".","1.3",".",".",".",".",".",".",".","."
"Energy Resources","411","001","66","3.235","37.9","25.8","12.1","9.1","7.6","7.6",".",".",".",".",".",".",".",".",".","."
"Sedimentology and Stratigraphy","430","001","23","3.333","26.1","26.1","26.1","8.7","4.3",".",".","4.3",".",".",".",".","4.3",".",".","."
"","431","001","7","3.286","28.6","28.6","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","431","002","22","3.068","27.3","13.6","22.7","18.2","18.2",".",".",".",".",".",".",".",".",".",".","."
"Sedimentary & Stratigraphy Lab","","Course Total","29","3.121","27.6","17.2","24.1","13.8","17.2",".",".",".",".",".",".",".",".",".",".","."
"Invertebrate Paleontology","542","001","7","3.500","57.1",".","14.3",".","14.3",".",".","14.3",".",".",".",".",".",".",".","."
"Intro to Applied Geophysics","594","001","12","2.917","25.0","8.3","25.0","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Fld Meth-Appl&Engr Geophysics","595","001","8","3.188","37.5","12.5","25.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Hydrogeology","627","001","28","2.804",".","10.7","64.3","7.1","14.3","3.6",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"","699","009","8","3.300","12.5","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","699","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","18","3.536","50.0","27.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Groundwater Flow Modeling","724","001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Micropaleontology I","740","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","003","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","005","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","006","9","3.250","22.2","44.4",".",".","22.2",".",".","11.1",".",".",".",".",".",".",".","."
"","875","007","5","***","","","","","","","","","",".",".",".",".",".",".","."
