"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","115
075","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
076","7","3.571","57.1",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","467","3.815","83.3","9.0","3.4","0.9","0.6","1.5","0.9",".",".",".",".",".",".",".","0.2","0.2"
"","125
001","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
002","14","3.464","21.4","57.1","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","125
003","18","3.611","55.6","22.2","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","004
125","19","3.816","78.9","5.3","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
005","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
006","20","3.775","90.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","125
007","23","3.739","82.6","8.7","4.3",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","125
008","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
009","19","3.816","73.7","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
125","18","3.806","88.9","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","125
012","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
125","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
125","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","015
125","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
016","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
017","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
018","16","3.719","87.5","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","125
019","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
020","20","3.775","90.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"A Wisconsin Experience Seminar","Course Total","324","3.826","80.9","13.0","4.0","0.3","0.3","0.3","1.2",".",".",".",".",".",".",".",".","."
"Smr:Stdts Seekng Educ Equ&Div","325
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
004","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
011","28","3.714","75.0",".","21.4",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Cnslg & Guidnce","Course Total","36","3.715","69.4","8.3","16.7",".","2.8",".",".",".",".",".",".",".","2.8",".",".","."
"Theory & Prac-Interviewing","650
001","112","3.786","76.8","11.6","6.3","2.7","2.7",".",".",".",".",".",".",".",".",".",".","."
"","699
028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","",""
"Intro to Qualitative Research","001
719","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Qual Rsch Mthds-Educ: Field I","788
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Counslng-Community Settings","791
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theories of Counseling","800
001","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess Tech for Counselors","801
001","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tech&Microskills-Counselors","805
001","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Suprvsd Pract-Counseling II","807
001","15","3.955","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","810
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","810
037","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Master Intrshp-Cnslg & Guid","Course Total","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Csnlg Psych Tech-Families","825
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multicultural Counseling","860
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 81 of 403"
