"BUS","","","","","","","","","","","","","","","","","","","",""
"REAL ESTATE & URBAN LAND E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","","139","3.281","31.7","18.7","30.9","12.2","2.9","2.2",".","1.4",".",".",".",".",".",".",".","."
"Real Estate Law","312
001","","46","3.189","19.6","17.4","50.0","6.5","2.2","2.2",".","2.2",".",".",".",".",".",".",".","."
"","365
001","","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
004","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
365","","17","4.000","88.2",".",".",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"","365
006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","52","3.804","80.8","9.6","5.8",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"","410
001","","37","3.432","27.0","32.4","40.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","410
002","","15","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","","52","3.510","30.8","40.4","28.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","415
001","","44","3.273","31.8","13.6","34.1","18.2","2.3",".",".",".",".",".",".",".",".",".",".","."
"","420
001","","28","3.482","28.6","39.3","32.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","","17","3.706","47.1","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","","45","3.567","35.6","42.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Real Estate","430
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","","20","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Housing Economics & Policy","641
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","710
001","","14","3.750","71.4","7.1","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","712
001","","13","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","720
001","","24","3.762","50.0","33.3","4.2",".",".",".",".","4.2",".",".",".",".","8.3",".",".","."
"Real Estate Equity Investmt","740
001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750
001","","20","3.450","30.0","30.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
765","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
009","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","36","3.946","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","799
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
