"","MATERIALS SCI AND ENGINEERI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Thermodynamics of Materials","330","001","45","3.477","35.6","31.1","24.4","4.4","2.2",".",".",".",".",".",".",".",".",".","2.2","."
"Macroprocessing-Materials","332","001","48","3.344","25.0","29.2","39.6","2.1","4.2",".",".",".",".",".",".",".",".",".",".","."
"Intro to Materials Science","350","001","163","3.638","51.5","31.3","12.3","4.3",".","0.6",".",".",".",".",".",".",".",".",".","."
"Struct&Property Rels-Solids","351","001","50","2.918","6.0","26.0","32.0","22.0","8.0","4.0",".",".",".",".",".",".",".","2.0",".","."
"","360","001","10","3.400","20.0","50.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","360","002","10","3.350","20.0","40.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","360","003","8","3.500","37.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","360","004","14","3.357",".","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Materials Laboratory I","","Course Total","42","3.393","16.7","54.8","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Materials Laboratory III","362","001","31","3.194","6.5","41.9","38.7","9.7","3.2",".",".",".",".",".",".",".",".",".",".","."
"","401","001","18","4.000","94.4",".",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","401","003","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Mat Sci&Engr","","Course Total","38","3.961","94.7",".","2.6",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"Nuclear Engr Materials","423","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Thin-Film Deposition","434","001","17","3.500","35.3","35.3","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Deformation of Solids","441","001","43","3.000","25.6","11.6","23.3","16.3","14.0","4.7",".","2.3","2.3",".",".",".",".",".",".","."
"Crystallog & Xray Diffractn","448","001","37","3.847","70.3","24.3","2.7",".",".",".",".",".",".",".",".",".","2.7",".",".","."
"Intro to Ceramic Materials","451","001","45","3.478","40.0","28.9","20.0","8.9","2.2",".",".",".",".",".",".",".",".",".",".","."
"Elec,Opt&Mag Prop of Materials","456","001","44","3.375","36.4","18.2","31.8","11.4","2.3",".",".",".",".",".",".",".",".",".",".","."
"Capstone Project I","470","001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Heterogeneous&Multiphase Mtrls","541","001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Atomistic Modeling","560","001","20","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","7","3.955","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Matls Sci-Phase Transfm","752","001","10","3.556","40.0","20.0","30.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Advanced Electronic Materials","756","001","18","3.694","44.4","50.0","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","004","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","790","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","","Course Total","31","",".",".",".",".",".",".",".","64.5",".",".",".","35.5",".",".",".","."
"","803","002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 140 of 403",""
