"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","103
001","359","2.972","25.9","12.0","25.3","13.1","20.6","1.7","1.4",".",".",".",".",".",".",".",".","."
"","002
103","360","3.003","27.2","11.4","26.4","14.2","17.2","2.5","1.1",".",".",".",".",".",".",".",".","."
"","103
003","350","2.933","27.4","11.4","27.7","7.7","17.7","4.9","2.9",".",".",".",".",".","0.3",".",".","."
"","004
103","362","2.951","24.9","13.8","23.5","13.0","19.3","4.1","0.8",".",".",".",".",".","0.6",".",".","."
"","103
005","351","2.977","28.5","11.1","26.8","10.0","16.5","6.6","0.6",".",".",".",".",".",".",".",".","."
"","103
006","367","2.974","27.5","12.0","25.9","11.7","16.1","5.4","1.1","0.3",".",".",".",".",".",".",".","."
"General Chemistry","Course Total","2149","2.969","26.9","12.0","25.9","11.6","17.9","4.2","1.3","0.0",".",".",".",".","0.1",".",".","."
"","104
001","294","2.779","14.6","10.5","37.1","9.2","21.1","6.1","1.4",".",".",".",".",".",".",".",".","."
"","002
104","211","2.858","21.3","10.4","27.0","12.3","24.2","3.8","0.9",".",".",".",".",".",".",".",".","."
"General Chemistry","Course Total","505","2.812","17.4","10.5","32.9","10.5","22.4","5.1","1.2",".",".",".",".",".",".",".",".","."
"General Chemistry","108
001","209","3.146","17.2","34.0","25.4","11.5","10.0","1.9",".",".",".",".",".",".",".",".",".","."
"","109
001","321","3.330","36.4","23.4","20.2","11.2","7.2","1.2",".","0.3",".",".",".",".",".",".",".","."
"","002
109","339","3.228","36.3","15.0","24.2","13.9","7.4","2.1","0.9",".","0.3",".",".",".",".",".",".","."
"","109
003","95","3.431","36.8","24.2","26.3","10.5","1.1",".",".",".",".",".",".",".",".","1.1",".","."
"Advanced General Chemistry","Course Total","755","3.297","36.4","19.7","22.8","12.3","6.5","1.5","0.4","0.1","0.1",".",".",".",".","0.1",".","."
"Chemical Principles I","001
115","28","3.482","42.9","32.1","21.4",".",".",".","3.6",".",".",".",".",".",".",".",".","."
"","260
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Entering Research I","Course Total","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
027","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
048","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
067","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
103","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","30","4.000","96.7",".",".",".",".",".",".",".",".",".",".",".",".","3.3",".","."
"Chem Across the Periodic Table","311
001","40","3.237","30.0","17.5","25.0","12.5","10.0",".",".",".",".",".",".",".","5.0",".",".","."
"Fundamentals of Analytical Sci","327
001","83","3.271","38.6","27.7","7.2","12.0","10.8","2.4","1.2",".",".",".",".",".",".",".",".","."
"Fundamentals of Analytical Sci","329
001","71","3.106","23.9","21.1","35.2","5.6","9.9","1.4","2.8",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry","001
341","94","2.826","14.9","14.9","27.7","17.0","18.1","3.2","2.1","1.1",".",".",".",".","1.1",".",".","."
"","342
001","6","3.083",".","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","342
002","8","3.375","37.5","25.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","003
342","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organic Chemistry Lab","Course Total","20","3.350","25.0","40.0","15.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","343
001","347","2.800","21.0","12.7","27.4","7.5","21.6","5.8","3.5",".",".",".",".",".","0.6",".",".","."
"","002
343","230","2.635","20.0","11.7","18.7","13.0","22.2","8.3","5.7",".",".",".",".",".",".",".",".","0.4"
"","343
003","225","2.633","23.6","8.9","19.1","12.9","20.4","7.6","7.6",".",".",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","Page 171 of 403",""
