"SLAVIC (SLAVIC LANGUAGES)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","",""
"799","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"818
Methods-Teachng Slavic Lang","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"820
College Teaching of Russian","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Smr-Pre-Soviet 20C Lit","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv Research-Slavic Lit","Course Total","","12","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
