"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101","001","129","3.512","33.3","44.2","14.7","2.3","0.8","0.8","0.8","1.6",".",".",".",".",".","1.6",".","."
"Amer Hist-Civil War-Present","102","001","127","3.271","16.5","36.2","31.5","5.5","3.1","1.6",".",".",".",".",".",".","0.8","4.7",".","."
"Intro-E Asian History:Japan","104","001","67","3.103","10.4","29.9","38.8","10.4","1.5",".","3.0",".",".",".",".",".",".",".","6.0","."
"Late Antiquity (200-900 C.E.)","112","001","103","3.545","36.9","29.1","17.5","1.0",".","1.9",".","13.6",".",".",".",".",".",".",".","."
"Modern Europe 1500-1815","119","001","126","3.252","30.2","23.8","24.6","11.1","5.6","0.8","1.6","1.6",".",".",".",".",".","0.8",".","."
"Europe&Mod World 1815-On","120","001","168","3.184","14.3","33.9","31.0","14.3","4.8","0.6",".","1.2",".",".",".",".",".",".",".","."
"English History to 1688","123","001","72","3.365","15.3","45.8","25.0","2.8",".",".","1.4","8.3",".",".",".",".",".",".",".","1.4"
"History-S Asia to Present","142","001","46","3.238","19.6","28.3","30.4","2.2","10.9",".",".",".",".",".",".",".",".",".","8.7","."
"Asian Am Hist:Movmnt&Dislocatn","160","001","79","3.690","60.8","29.1","5.1","2.5","1.3",".","1.3",".",".",".",".",".",".",".",".","."
"","200","001","16","3.781","56.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200","003","34","3.309","11.8","47.1","35.3","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","200","004","36","3.306","13.9","44.4","33.3","5.6","2.8",".",".",".",".",".",".",".",".",".",".","."
"Historical Studies","","Course Total","86","3.395","20.9","45.3","27.9","3.5","2.3",".",".",".",".",".",".",".",".",".",".","."
"Islam Wrld:MidEast,500-1500","205","001","42","3.267","19.0","28.6","26.2","4.8","7.1",".",".","14.3",".",".",".",".",".",".",".","."
"The American Jewish Experience","219","001","86","3.312","31.4","26.7","22.1","9.3","9.3",".",".",".",".",".",".",".","1.2",".",".","."
"Intro to Modern Jewish Hist","220","001","9","3.222","33.3","22.2","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"Exploration-European Hist (H)","223","001","50","3.566","28.0","34.0","10.0","4.0",".",".",".","20.0",".",".",".",".","2.0",".",".","2.0"
"","225","001","29","3.161","3.4","37.9","44.8","6.9","3.4",".",".",".",".",".",".",".","3.4",".",".","."
"","225","002","13","3.462","46.2","15.4","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Exploration-3rd World Hist (H)","","Course Total","42","3.256","16.7","31.0","38.1","9.5","2.4",".",".",".",".",".",".",".","2.4",".",".","."
"Transnational/Cmp Hist(SocSci)","228","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mod Latin Am, 1898 to Present","242","001","78","3.547","41.0","23.1","32.1",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","18","3.147","38.9","16.7","5.6","22.2","5.6",".","5.6","5.6",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","22","3.455","31.8","36.4","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in LGBT History","275","001","57","3.745","61.4","21.1","5.3",".",".",".","1.8",".",".",".",".",".","10.5",".",".","."
"Africa: Introductory Survey","277","001","29","3.732","51.7","37.9","6.9",".",".",".",".",".",".",".",".",".",".","3.4",".","."
"Intermed Hon Smr-Study Hist(H)","283","001","13","3.462","15.4","61.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"A History of Greek Civ","303","001","212","3.639","48.6","32.1","11.3","2.4","0.9",".","0.5","4.2",".",".",".",".",".",".",".","."
"Crusades: Christianity & Islam","309","001","61","3.410","21.3","36.1","26.2","4.9",".",".",".","11.5",".",".",".",".",".",".",".","."
"The Vietnam Wars","319","001","123","3.497","31.7","36.6","22.8","2.4","1.6",".",".","3.3",".",".",".",".","1.6",".",".","."
"The Renaissance","333","002","54","3.085","7.4","14.8","61.1","9.3","1.9",".",".","3.7",".",".",".",".","1.9",".",".","."
"Hist-Modern China,1800-1949","341","001","44","3.310","18.2","34.1","27.3","4.5","6.8",".",".","9.1",".",".",".",".",".",".",".","."
"Women & Gender in US to 1870","353","002","17","3.236","17.6","29.4","41.2","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Women&Gender in US Since 1870","354","001","29","3.374","20.7","31.0","44.8",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"Soc-Shakespeares England","367","001","48","3.330","20.8","31.3","31.3","4.2",".",".","2.1","10.4",".",".",".",".",".",".",".","."
"Hist of Africa, 1500-1870","377","002","37","2.901","10.8","18.9","35.1","21.6","5.4","2.7","2.7",".",".",".",".",".","2.7",".",".","."
"Islam in Iran","379","001","35","3.422","31.4","31.4","20.0","5.7",".","2.9",".","5.7",".",".",".",".","2.9",".",".","."
"Immigratn&Assimlatn-Am Hist","403","001","74","3.542","40.5","36.5","12.2","6.8","2.7",".",".",".",".",".",".",".","1.4",".",".","."
"Am Labor Hist: 1900-Present","408","001","35","3.824","77.1","8.6","8.6","2.9",".",".",".","2.9",".",".",".",".",".",".",".","."
"History-American Education","412","001","45","3.134","24.4","20.0","24.4","8.9","11.1",".","2.2",".",".",".",".",".","6.7","2.2",".","."
"History of Russia","418","004","73","3.220","20.5","21.9","23.3","11.0","2.7",".","1.4","16.4",".",".",".",".","2.7",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","Page 223 of 403",""
