"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"Peer Ldrshp&Mntrshp-Trans Stdt","350
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
502","","18","3.806","83.3",".","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Wkshp-Ed Leadership & Pol Anal","Course Total","","28","3.875","89.3",".","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","700
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Experience-Ed Ldrship","Course Total","","10","3.833","50.0",".","10.0",".",".",".",".",".",".",".",".",".","40.0",".",".","."
"","001
701","","26","3.827","76.9","11.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
002","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Higher & Post-Sec Ed","Course Total","","36","3.819","72.2","19.4","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Educational Leadership","001
702","","17","4.000","88.2",".",".",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"Govern&Admin-Coll&Universty","715
001","","20","3.722","45.0","40.0","5.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Intro to Qualitative Research","719
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","725
001","","25","3.700","56.0","32.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","725
002","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","Course Total","","35","3.714","54.3","37.1","5.7","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Ldrship for Equity & Diversity","735
001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Admin Stdt Serv-Higher Educ","736
001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adult Learner:Implictn for C&I","746
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues in Educ Policy Analysis","765
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"School-Community Engagement","770
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","788
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","788
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Fld Rsch Dsgn&Meth-Ed Admin","824
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Finance","830
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Public School Law","840
001","","25","3.667","52.0","32.0","8.0",".","4.0",".",".",".",".",".",".",".","4.0",".",".","."
"Legal Foundations of Spec Ed","842
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"School-Level Leadership","845
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The School Superintendency","846
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Instr Leadership&Tchr Capacity","847
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org Theory&Behavior in Educ","860
001","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"The Politics of Education","870
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory&Practice-Ed Planning","875
002","","21","4.000","81.0",".",".",".",".",".",".",".",".",".",".",".","19.0",".",".","."
"","880
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","880
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Acadmc Prgrms-Col&Universty","Course Total","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
002","","10","3.857","50.0","20.0",".",".",".",".",".",".",".",".",".",".","30.0",".",".","."
"","940
003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
004","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
940","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","940
007","","20","3.853","60.0","25.0",".",".",".",".",".",".",".",".",".",".","15.0",".",".","."
