"ELECTRICAL AND COMPUTER E Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Machine Organizatn&Progrmng","","Course Total","35","3.114","34.3","17.1","20.0","5.7","20.0",".","2.9",".",".",".",".",".",".",".",".","."
"","355","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","355","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Electromech Energy Conversn","","Course Total","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elect Power for Alt Energy Sys","356","001","28","3.130","14.3","28.6","32.1","10.7","10.7",".",".","3.6",".",".",".",".",".",".",".","."
"","370","001","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370","002","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370","003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","","Course Total","26","3.827","69.2","26.9","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","376","001","125","3.152","21.6","8.8","56.0","7.2","5.6","0.8",".",".",".",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","377","001","72","3.660","50.0","37.5","6.9","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","399","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","045","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","047","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","054","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","066","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","12","3.778","66.7",".","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","411","001","35","3.214","22.9","17.1","42.9","14.3","2.9",".",".",".",".",".",".",".",".",".",".","."
"","411","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","411","003","16","2.679",".","6.3","50.0","12.5","12.5","6.3",".",".",".",".",".",".",".",".","12.5","."
"Intro to Electric Drive Sys","","Course Total","53","3.039","15.1","13.2","43.4","17.0","5.7","1.9",".",".",".",".",".",".",".",".","3.8","."
"Digital Control","417","001","9","3.389","55.6",".","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Electromag Wave Transmissn","420","001","41","3.195","19.5","26.8","39.0","2.4","12.2",".",".",".",".",".",".",".",".",".",".","."
"","427","001","43","3.310","46.5","11.6","9.3","16.3","14.0",".",".",".",".",".",".",".","2.3",".",".","."
"","427","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","427","003","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electric Power Systems","","Course Total","56","3.355","50.0","8.9","12.5","14.3","12.5",".",".",".",".",".",".",".","1.8",".",".","."
"Digital Signal Processing","431","001","32","3.550","40.6","37.5","6.3","3.1","6.3",".",".","3.1",".",".",".",".","3.1",".",".","."
"Introduction to Cryptography","435","001","17","2.941","23.5","23.5","23.5","11.8","5.9","5.9","5.9",".",".",".",".",".",".",".",".","."
"Communication Systems I","436","001","12","3.542","50.0","8.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Communications Sys","447","001","14","3.464","50.0","7.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Mobile Computing Laboratory","454","001","16","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Instrumentation","462","001","8","3.313","37.5","12.5","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Computers in Medicine","463","001","7","3.571","57.1",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","491","025","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Power Electronics Lab","512","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Plasmas","525","001","7","3.071","14.3","28.6","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".","."
"Plasma Processng & Technlgy","528","001","9","3.438","22.2","33.3","33.3",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Image Processing","533","001","29","2.712","17.2","10.3","17.2","20.7","10.3","13.8",".",".",".",".",".",".","6.9","3.4",".","."
"Integrated Optics&Optoelect","536","001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
