"COMPUTER SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"Master's Research","Course Total","","82","",".",".",".",".",".",".",".","98.8",".",".",".",".",".",".","1.2","."
"838","001","","22","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"838","002","","14","3.923","78.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"838","003","","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Computing","Course Total","","48","3.809","68.8","20.8","8.3",".",".",".",".",".",".",".",".",".",".",".","2.1","."
"899","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"899","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"899","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"899","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"899","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","023","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"899","025","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"899","029","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"899","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","085","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"899","086","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","091","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","097","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","099","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","101","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator Research","Course Total","","88","",".",".",".",".",".",".",".","95.5",".",".",".",".",".",".","4.5","."
"900
Adv Seminar - Computer Science","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"915
Computn&Informatcs in Biol&Med","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","Page 192 of 403",""
