"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"950","002","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Lawyering Skills Course","Course Total","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"957
Intro to Estate Planning","001","","10","1.700","30.0",".","10.0",".","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"989
Environmental Law and Practice","001","","11","0.900","9.1",".","9.1",".","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","097","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Research","Course Total","","39","",".",".",".",".",".",".",".","94.9",".",".",".",".","5.1",".",".","."
"991","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","044","","8","",".",".",".",".",".",".",".","75.0",".",".",".",".","25.0",".",".","."
"991","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","Course Total","","12","",".",".",".",".",".",".",".","75.0",".",".",".",".","25.0",".",".","."
