"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"Topics Seminar-Educ Leadership","Course Total","","58","3.931","75.9","12.1",".",".",".",".",".",".",".",".",".",".","12.1",".",".","."
"990","003","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","8","",".",".",".",".",".",".",".","87.5",".",".",".",".","12.5",".",".","."
"990","036","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","042","","11","",".",".",".",".",".",".",".","90.9",".",".",".",".","9.1",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","048","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","95","",".",".",".",".",".",".",".","93.7",".",".",".","4.2","2.1",".",".","."
"999","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","045","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","057","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"999","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","203","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","24","3.973","87.5","4.2",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
