"L&S","","","","","","","","","","","","","","","","","","","",""
"E ASIAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"403
Seventh Semester Japanese","001","","18","3.559","44.4","27.8","16.7",".","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"405
Seventh Semester Korean","001","","15","3.800","80.0","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"430
Japanese for Bus & Industry","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"431
Intro to Chinese Linguistics","001","","12","3.955","83.3","8.3",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"501
Fifth-year Chinese","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"571
Rdgs-Classical Chinese Lit","001","","9","3.438","55.6",".","11.1","11.1","11.1",".",".","11.1",".",".",".",".",".",".",".","."
"574
Rdgs-Classical Japanese Lit","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"623
Tchg-Japanese-Foreign Lang","001","","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","3.840","70.0","10.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"701
Prosem-Chinese Literature","001","","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"763
Studies-Japanese Literature","001","","7","4.000","71.4",".",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"799
Reading for Research","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"951
Smr-Chinese Literature","001","","9","4.000","77.8",".",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"990","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","18","",".",".",".",".",".",".",".","72.2",".",".",".","27.8",".",".",".","."
