"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","","","","",""
"Contemporary Topics","Course Total","106","3.717","69.8","18.9","6.6","2.8","1.9","",".","",".","",".",".",".",".",".",".",".",".","."
"971
Seminar-Marketing PhD","001","5","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","010","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","107","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","160","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Marketing","Course Total","3","***","","","","","","","","","","","","","","","","","","",""
"999","055","2","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","138","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","160","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Marketing PhD","Course Total","4","***","","","","","","","","","","","","","","","","","","",""
