"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"864
RUR SOC","","","","","","","","","","","","","","","","","","","","","",""
"","999
072","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Reading and Research","Course Total","5","***","","","","","","","","","","","","","","","","","","",""
"RUR SOC
864","Dept. Total","336","3.510","56.0","21.1","9.2","4.5","3.3","0.9","1.5","1.8","",".",".","",".","",".","1.5","0.3",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"864
RUR SOC","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","62","3.780","83.9","8.1","3.2","4.8",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","66","3.294","50.0","19.7","12.1","6.1","7.6","3.0","1.5",".","",".",".","",".","",".",".",".",".","."
"Junior","","88","3.370","38.6","34.1","14.8","6.8","2.3",".","3.4",".","",".",".","",".","",".",".",".",".","."
"Senior","","85","3.599","56.5","22.4","8.2","2.4","3.5","1.2","1.2",".","",".",".","",".","",".","4.7",".",".","."
"Undergraduates","","301","3.481","55.5","22.3","10.0","5.0","3.3","1.0","1.7",".","",".",".","",".","",".","1.3",".",".","."
"Special","","3","2.750",".","33.3",".",".","33.3",".",".",".","",".",".","",".","",".","33.3",".",".","."
"Graduate","","31","3.899","67.7","6.5","3.2",".",".",".",".","19.4","",".",".","",".","",".",".","3.2",".","."
"Prof Yr 4","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","336","3.510","56.0","21.1","9.2","4.5","3.3","0.9","1.5","1.8","",".",".","",".","",".","1.5","0.3",".","."
