"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"271","001","","31","3.452","51.6","12.9","19.4","6.5","9.7",".",".",".",".",".",".",".",".",".",".","."
"271","002","","10","3.056","20.0","10.0","40.0",".","20.0",".",".",".",".",".",".",".","10.0",".",".","."
"Engr Problem Solving I","Course Total","","41","3.363","43.9","12.2","24.4","4.9","12.2",".",".",".",".",".",".",".","2.4",".",".","."
"305
Fundamentals-Nuclear Engr","001","","41","3.207","24.4","24.4","26.8","17.1","7.3",".",".",".",".",".",".",".",".",".",".","."
"411
Nuclear Reactor Engineering","001","","29","3.052","17.2","24.1","37.9",".","17.2","3.4",".",".",".",".",".",".",".",".",".","."
"423
Nuclear Engr Materials","001","","35","3.186","20.0","11.4","57.1","8.6","2.9",".",".",".",".",".",".",".",".",".",".","."
"424
Nuclear Materials Laboratory","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"427
Nuclear Instrumentation Lab","001","","26","3.375","26.9","19.2","42.3","3.8",".",".",".",".",".",".",".",".","7.7",".",".","."
"428","001","","12","3.450","41.7","8.3","16.7","16.7",".",".",".",".",".",".",".",".","16.7",".",".","."
"428","002","","9","3.286","33.3","22.2",".",".","22.2",".",".",".",".",".",".",".","22.2",".",".","."
"Nuclear Reactor Laboratory","Course Total","","21","3.382","38.1","14.3","9.5","9.5","9.5",".",".",".",".",".",".",".","19.0",".",".","."
"489
Honors in Research","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","16","2.781","6.3","25.0","31.3","18.8","6.3","12.5",".",".",".",".",".",".",".",".",".","."
"528
Plasma Processng & Technlgy","001","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"536
Power-Thermonuclear Fusion","001","","24","3.364","33.3","12.5","37.5","4.2","4.2",".",".","8.3",".",".",".",".",".",".",".","."
"547
Engineering Analysis I","001","","28","3.714","60.7","21.4","17.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Adv Nuclear Power Engr","001","","17","3.353","41.2","17.6","29.4","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"555
Nuclear Reactor Dynamics","001","","17","3.353","23.5","41.2","17.6","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"602
Special Topics-Reactor Engr","001","","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"725
Plasma Kinetic&Radiatn Proc","001","","11","3.333","9.1","45.5","18.2","9.1",".",".",".","18.2",".",".",".",".",".",".",".","."
"790","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","16","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"890","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","008","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","Page 137 of 403",""
