"COMPARATIVE LITERATURE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","",""
"","203
001","120","3.176","15.0","31.7","38.3","10.0","0.8","2.5","0.8",".",".",".",".",".",".",".","0.8","."
"","002
203","98","3.362","12.2","56.1","24.5","6.1","1.0",".",".",".",".",".",".",".",".",".",".","."
"","203
303","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Cross-Cultrl Lit Form","Course Total","219","3.259","13.7","42.5","32.4","8.2","0.9","1.4","0.5",".",".",".",".",".",".",".","0.5","."
"","350
001","8","3.857","62.5","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","350
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Problms in Comp Lit & Cultures","Course Total","11","3.900","72.7","18.2",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Literary Criticism","371
001","7","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","466
001","20","3.025","25.0","10.0","30.0","15.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","466
002","23","3.413","39.1","30.4","26.1",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"Literature , Media, the Arts","Course Total","43","3.233","32.6","20.9","27.9","7.0","9.3",".","2.3",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Literary Criticism","771
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr:Prob in Trans Genre & Mode","958
001","12","4.000","83.3",".",".",".",".",".",".","8.3",".",".",".",".","8.3",".",".","."
"Smr-Poetics & Literary Thry","975
001","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
003","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","13","",".",".",".",".",".",".",".","84.6",".",".",".","15.4",".",".",".","."
"Independent Work","999
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"COMP LIT
260","Dept. Total","320","3.343","24.7","33.4","26.3","6.6","1.9","0.9","0.6","4.1",".",".",".","0.6","0.6",".","0.3","."
