"Research","Course Total","13","",".",".",".",".","",".","",".","",".","30.8",".",".",".","69.2",".",".",".","."
"","999
022","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","999
065","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","2","***","","","","","","","","","","","","","","","","","","",""
"S&A PHM
732","Dept. Total","318","3.722","59.7","26.1","6.3","3.1","",".","",".","",".","1.3",".",".",".","3.1","0.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","4","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","5","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Special","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Graduate","","25","4.000","40.0",".",".",".","",".","",".","",".","16.0",".",".",".","40.0","4.0",".",".","."
"Prof Yr 1","","141","3.645","49.6","34.8","10.6","5.0","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Prof Yr 2","","7","3.750","57.1","42.9",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","139","3.818","71.9","22.3","3.6","2.2","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Professionals","","287","3.714","60.6","28.9","7.0","3.5","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","318","3.722","59.7","26.1","6.3","3.1","",".","",".","",".","1.3",".",".",".","3.1","0.3",".",".","."
