"BUS","","","","","","","","","","","","","","","","","","",""
"ACTUARIAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","",""
"","300
001","22","3.909","90.9","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","31","3.817","77.4","9.7","3.2","6.5",".",".",".",".",".",".",".",".",".","3.2",".","."
"Actuarial Science Methods I","Course Total","53","3.856","83.0","7.5","1.9","5.7",".",".",".",".",".",".",".",".",".","1.9",".","."
"","301
001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","16","3.875","87.5","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods II","Course Total","35","3.914","88.6","8.6",".","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Theory-Interst & Life Insur","303
001","45","3.289","28.9","31.1","22.2","8.9","6.7","2.2",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650
001","77","3.160","20.8","35.1","19.5","9.1","9.1","2.6","1.3",".",".",".",".",".","2.6",".",".","."
"","650
002","41","3.268","39.0","22.0","19.5","7.3","7.3","2.4","2.4",".",".",".",".",".",".",".",".","."
"Actuarial Mathematics I","Course Total","118","3.198","27.1","30.5","19.5","8.5","8.5","2.5","1.7",".",".",".",".",".","1.7",".",".","."
"","001
652","74","2.986","16.2","28.4","21.6","14.9","8.1","4.1","2.7","1.4",".",".",".",".","2.7",".",".","."
"","652
002","45","3.133","17.8","31.1","28.9","13.3","4.4","4.4",".",".",".",".",".",".",".",".",".","."
"Loss Models I","Course Total","119","3.043","16.8","29.4","24.4","14.3","6.7","4.2","1.7","0.8",".",".",".",".","1.7",".",".","."
"Regressn&Time Series-Actuaries","001
654","43","3.357","34.9","23.3","23.3","9.3","7.0",".",".",".",".",".",".",".",".","2.3",".","."
"ACT SCI
242","Dept. Total","430","3.246","40.0","23.7","17.0","9.1","5.6","2.1","0.9","0.2",".",".",".",".","0.9","0.5",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","47","3.315","61.7","12.8","8.5","6.4","6.4","2.1",".",".",".",".",".",".",".","2.1",".","."
"Junior","","117","3.270","51.3","17.1","16.2","8.5","3.4","1.7","1.7",".",".",".",".",".",".",".",".","."
"Senior","","200","3.223","31.0","27.0","19.0","10.5","7.0","2.5","1.0","0.5",".",".",".",".","1.0","0.5",".","."
"Undergraduates","","365","3.246","41.4","22.2","16.7","9.3","5.8","2.2","1.1","0.3",".",".",".",".","0.5","0.5",".","."
"Special","","59","3.241","32.2","32.2","18.6","6.8","5.1","1.7",".",".",".",".",".",".","3.4",".",".","."
"Graduate","","6","3.344","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","430","3.246","40.0","23.7","17.0","9.1","5.6","2.1","0.9","0.2",".",".",".",".","0.9","0.5",".","."
