"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","","",""
"","990
025","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research and Thesis","Course Total","29","",".",".",".",".",".",".","",".","51.7",".",".",".","48.3","",".",".",".","."
"M M & I
620","Dept. Total","529","3.677","62.4","13.8","11.3","2.6","3.0","0.2","",".","3.2",".",".",".","3.4","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","16","3.733","87.5",".",".",".","12.5",".","",".",".",".",".",".",".","",".",".",".","."
"Junior","","117","3.647","60.7","15.4","17.1","2.6","4.3",".","",".",".",".",".",".",".","",".",".",".","."
"Senior","","220","3.714","65.0","20.0","6.4","3.6","2.7","0.5","",".",".",".",".",".","1.8","",".",".",".","."
"Undergraduates","","353","3.691","64.6","17.6","9.6","3.1","3.7","0.3","",".",".",".",".",".","1.1","",".",".",".","."
"Special","","13","3.448","46.2","7.7","7.7","7.7","15.4",".","",".","15.4",".",".",".",".","",".",".",".","."
"Graduate","","104","3.795","64.4","1.9","7.7",".","1.0",".","",".","12.5",".",".",".","12.5","",".",".",".","."
"Prof Yr 1","","47","3.423","42.6","17.0","36.2","4.3",".",".","",".",".",".",".",".",".","",".",".",".","."
"Prof Yr 2","","7","4.000","71.4",".",".",".",".",".","",".","28.6",".",".",".",".","",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Prof Yr 4","","4","4.000","75.0",".",".",".",".",".","",".",".",".",".",".","25.0","",".",".",".","."
"Professionals","","59","3.510","49.2","13.6","28.8","3.4",".",".","",".","3.4",".",".",".","1.7","",".",".",".","."
"","Dept. Total","529","3.677","62.4","13.8","11.3","2.6","3.0","0.2","",".","3.2",".",".",".","3.4","",".",".",".","."
