"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"Technical Info Resources","151
001","16","3.600","62.5",".","18.8","12.5",".",".",".","6.3",".",".",".",".",".",".",".","."
"","155
001","18","3.083","5.6","27.8","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","155
002","20","3.175","10.0","40.0","30.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","155
003","20","3.250","10.0","40.0","45.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","155
004","18","3.306","16.7","44.4","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","155
005","20","3.325","25.0","50.0","15.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","006
155","19","3.421","26.3","52.6","15.8",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","155
007","20","3.425","30.0","40.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","155
008","21","3.405","23.8","33.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
009","19","3.316",".","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","155
010","20","3.150","10.0","30.0","45.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","155
011","19","3.500","31.6","36.8","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
012","18","3.639","50.0","33.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","155
013","20","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","252","3.353","22.2","39.7","29.4","6.3","1.6","0.4","0.4",".",".",".",".",".",".",".",".","."
"","275
001","15","3.633","60.0","20.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","275
002","18","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
004","18","3.694","55.6","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
275","17","3.676","41.2","52.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
006","16","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","104","3.712","54.8","34.6","9.6",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"","374
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","374
003","6","",".",".",".",".",".",".",".",".",".","66.7",".",".",".",".",".","."
"Intermed Tech Japanese I","Course Total","13","",".",".",".",".",".",".",".",".",".","84.6",".",".",".",".",".","."
"Elems: Comp-Assist Publishg","001
395","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
001","22","3.690","50.0","31.8","13.6",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"","002
397","21","3.333","14.3","61.9","14.3","4.8",".","4.8",".",".",".",".",".",".",".",".",".","."
"","397
003","21","3.429","23.8","42.9","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","23","3.609","43.5","34.8","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
006","16","3.250","12.5","25.0","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
007","20","3.125","15.0","30.0","30.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","397
008","17","3.265","23.5","17.6","47.1","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","397
009","10","3.444","10.0","60.0","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","010
397","22","3.341","40.9","27.3","18.2","4.5","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","397
011","20","3.675","55.0","30.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
012","17","3.294","23.5","52.9","5.9","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"","397
013","20","3.289","15.0","30.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".","5.0"
"Technical Communication","Course Total","229","3.403","28.8","36.2","25.8","4.8","1.7","0.9","0.4","0.4",".",".",".",".","0.4",".",".","0.4"
"Tech Communications Intrshp","398
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Applicatns of Statistics","416
001","29","4.000","93.1",".",".",".",".",".",".",".",".",".",".",".","6.9",".",".","."
"","430
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","430
003","8","3.833","50.0","25.0",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"Japanese for Bus & Industry","Course Total","10","3.857","50.0","20.0",".",".",".",".",".",".",".",".",".",".","30.0",".",".","."
