"MANAGEMENT AND HUMAN RE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","",""
"Contemporary Topics","Course Total","","132","3.663","58.3","18.9","21.2",".","1.5",".",".",".",".",".",".",".",".",".",".","."
"773
Seminar-Arts Administration","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790
Master's Research and Thesis","204","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"872
Smr-Org Behavior & Design","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","129","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","133","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","153","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","Course Total","","7","",".",".",".",".",".",".",".","71.4",".",".",".","28.6",".",".",".","."
"999
Read&Rsch-Mgmt&H Resrcs PhD","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"M H R
236","Dept. Total","","1669","3.376","39.5","24.2","22.8","3.5","6.2","1.3","1.1","0.4","0.1",".",".","0.1","0.8",".",".","."
