"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","320
002","129","2.957","17.1","30.2","17.8","15.5","10.9","7.8","0.8",".",".",".",".",".",".",".",".","."
"","320
003","110","2.845","24.5","11.8","30.9","10.0","9.1","9.1","4.5",".",".",".",".",".",".",".",".","."
"Linear Alg & Diff Equations","Course Total","317","2.872","20.8","18.9","24.9","9.8","15.1","8.2","2.2",".",".",".",".",".",".",".",".","."
"Appl Mathematical Analysis","001
321","53","2.288","9.4","3.8","9.4","22.6","37.7","13.2","1.9",".",".",".",".",".",".","1.9",".","."
"Appl Mathematical Analysis","322
001","17","2.529","23.5",".","41.2",".","11.8","11.8","11.8",".",".",".",".",".",".",".",".","."
"Intro:Prob&Markov Chain Mod","331
002","28","3.071","32.1","17.9","21.4","3.6","17.9","7.1",".",".",".",".",".",".",".",".",".","."
"","340
001","60","2.695","18.3","16.7","18.3","16.7","15.0","6.7","6.7",".",".",".",".",".","1.7",".",".","."
"","002
340","85","3.024","35.3","3.5","25.9","10.6","20.0","4.7",".",".",".",".",".",".",".",".",".","."
"","340
010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","340
020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem Matrix&Linear Algebra","Course Total","151","2.897","29.1","8.6","22.5","13.2","17.2","6.0","2.6",".",".",".",".",".","0.7",".",".","."
"Linear Algebra","002
341","38","3.568","57.9","26.3","2.6","5.3",".","2.6","2.6",".",".",".",".",".","2.6",".",".","."
"","375
001","38","3.303","36.8","39.5","10.5",".","5.3","2.6","5.3",".",".",".",".",".",".",".",".","."
"","375
002","21","3.548","38.1","52.4",".",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"Multi-Var Calc & Linear Alg","Course Total","59","3.390","37.3","44.1","6.8",".","6.8","1.7","3.4",".",".",".",".",".",".",".",".","."
"Appl Dyn Sys, Chaos&Modelng","001
415","26","3.020","26.9","15.4","26.9","19.2",".",".","7.7",".",".",".",".",".",".","3.8",".","."
"Theory of Single Variable Calc","421
002","47","3.053","25.5","23.4","21.3","12.8","10.6","4.3","2.1",".",".",".",".",".",".",".",".","."
"","431
001","39","2.897","28.2","7.7","23.1","12.8","20.5","7.7",".",".",".",".",".",".",".",".",".","."
"","002
431","28","2.857","39.3","3.6","17.9","10.7","10.7","14.3","3.6",".",".",".",".",".",".",".",".","."
"","431
003","41","2.707","22.0","9.8","22.0","9.8","24.4","9.8","2.4",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","108","2.815","28.7","7.4","21.3","11.1","19.4","10.2","1.9",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435
001","15","2.964","20.0","13.3","33.3","20.0",".",".","6.7",".",".",".",".",".","6.7",".",".","."
"Intro to Modern Algebra","441
001","22","3.068","13.6","27.3","27.3","22.7","9.1",".",".",".",".",".",".",".",".",".",".","."
"Applied Linear Algebra","443
002","19","3.806","68.4","15.8","10.5",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"College Geometry I","461
001","29","2.776","27.6","13.8","10.3","17.2","20.7","3.4","6.9",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","19","2.974","31.6","15.8","21.1","10.5","5.3","15.8",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","490
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Numerical Analysis","514
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","521
001","43","2.738","20.9","14.0","20.9","18.6","9.3","7.0","7.0",".",".",".",".",".",".",".",".","2.3"
"","521
002","22","3.190","31.8","9.1","31.8","9.1","13.6",".",".","4.5",".",".",".",".",".",".",".","."
"","521
003","26","2.885","38.5","11.5","19.2","3.8","7.7","11.5","7.7",".",".",".",".",".",".",".",".","."
"Analysis I","Course Total","91","2.888","28.6","12.1","23.1","12.1","9.9","6.6","5.5","1.1",".",".",".",".",".",".",".","1.1"
"Analysis II","001
522","9","3.188","22.2","11.1","44.4",".","11.1",".",".",".",".",".",".",".","11.1",".",".","."
"Linear Programming Methods","525
001","9","2.111","11.1","22.2","11.1",".","22.2","11.1","22.2",".",".",".",".",".",".",".",".","."
"","541
001","31","2.929","29.0","16.1","19.4","3.2","9.7","6.5","6.5",".",".",".",".",".","6.5",".",".","3.2"
"","002
541","27","2.654","25.9","7.4","18.5",".","29.6","11.1","3.7",".",".",".",".",".",".","3.7",".","."
"Modern Algebra","Course Total","58","2.796","27.6","12.1","19.0","1.7","19.0","8.6","5.2",".",".",".",".",".","3.4","1.7",".","1.7"
"Elementary Topology","551
001","25","2.920","24.0","8.0","32.0","24.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"Elementary Number Theory","567
001","25","3.060","20.0","20.0","36.0","8.0","12.0","4.0",".",".",".",".",".",".",".",".",".","."
"Mathematical Logic","571
001","18","2.667","11.1","5.6","44.4","5.6","22.2","11.1",".",".",".",".",".",".",".",".",".","."
"Math Mthds-Structural Biology","606
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Analysis III","621
001","10","3.150","40.0","10.0","20.0",".","30.0",".",".",".",".",".",".",".",".",".",".","."
