"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"","100","047","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","049","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","052","12","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","055","13","3.500","15.4","69.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","056","13","3.615","38.5","53.8",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100","057","13","3.500","30.8","53.8","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100","058","13","3.538","15.4","76.9","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","059","12","3.292","16.7","33.3","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100","060","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","061","12","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","062","13","3.269","38.5","15.4","30.8","7.7",".","7.7",".",".",".",".",".",".",".",".",".","."
"","100","063","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","064","11","3.500","36.4","36.4","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","","Course Total","732","3.479","30.2","45.2","18.3","3.6","2.3","0.4",".",".",".",".",".",".",".",".",".","."
"Elements of Speech-Honors","181","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Communication","200","001","17","3.588","41.2","41.2","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","210","001","18","3.028",".","38.9","33.3","22.2","5.6",".",".",".",".",".",".",".",".",".",".","."
"","210","002","16","3.563","50.0","25.0","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Topics in Communication Arts","","Course Total","34","3.279","23.5","32.4","26.5","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"Radio,TV&Film as Mass Media","250","001","222","3.203","12.6","44.1","28.8","9.9","1.8","0.5","2.3",".",".",".",".",".",".",".",".","."
"Communication & Human Behav","260","001","224","2.895","4.5","20.1","42.4","21.4","10.3",".","1.3",".",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","262","001","142","3.039","10.6","28.9","36.6","12.7","7.7","1.4","1.4",".",".",".",".",".",".",".","0.7","."
"Thry&Pract-Group Discussion","266","001","100","3.242","22.0","26.0","36.0","10.0","4.0","1.0",".","1.0",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272","001","143","2.926","8.4","25.2","40.6","10.5","8.4","4.2","2.1",".",".",".",".",".","0.7",".",".","."
"Mass Media & Human Behavior","325","001","100","3.089","12.0","20.0","45.0","11.0","8.0",".",".","3.0",".",".",".",".",".","1.0",".","."
"Critical Internet Studies","346","001","78","3.128","3.8","35.9","44.9","12.8","2.6",".",".",".",".",".",".",".",".",".",".","."
"Race, Ethnicity, and Media","347","001","31","3.267","9.7","38.7","45.2",".","3.2",".",".",".",".",".",".",".","3.2",".",".","."
"Introduction to Film","350","001","123","3.107","4.9","35.0","46.3","7.3","3.3",".","1.6","1.6",".",".",".",".",".",".",".","."
"Introduction to Television","351","001","131","3.015","9.9","32.1","29.0","13.7","11.5","3.1",".",".",".",".",".",".",".","0.8",".","."
"Film History to 1960","352","001","19","3.219","26.3","15.8","21.1","10.5","10.5",".",".","5.3",".",".",".",".",".",".","10.5","."
"Intro to Media Production","355","001","132","3.191","10.6","34.1","40.2","11.4","3.0",".",".",".",".",".",".",".","0.8",".",".","."
"Thry&Practice of Persuasion","368","001","109","3.115","19.3","22.0","34.9","15.6","5.5","2.8",".",".",".",".",".",".",".",".",".","."
"Great Speakers and Speeches","370","001","180","2.980","7.2","33.9","29.4","15.6","8.9","3.9","0.6",".",".",".",".",".","0.6",".",".","."
"Cultural Hist of Broadcasting","450","001","25","3.104","20.0","28.0","20.0","8.0","20.0",".",".",".",".",".",".",".","4.0",".",".","."
"Television Criticism","451","001","55","3.336","21.8","36.4","30.9","9.1","1.8",".",".",".",".",".",".",".",".",".",".","."
"French Film","455","001","23","3.350","26.1","21.7","26.1","13.0",".",".",".","13.0",".",".",".",".",".",".",".","."
"New Media and Society","459","001","20","2.789",".","15.0","60.0","5.0","10.0",".","5.0",".",".",".",".",".","5.0",".",".","."
"American Independent Cinema","462","001","21","3.357","19.0","38.1","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","465","001","15","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465","002","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Editing & Post-prod:Video&Film","","Course Total","31","3.661","45.2","41.9","12.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing for TV & Film","466","001","14","3.464","21.4","50.0","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
