"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","300
001","24","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
300","24","3.771","54.2","45.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","24","3.792","62.5","33.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","23","3.717","43.5","56.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
300","23","3.804","60.9","39.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
007","20","3.825","65.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","24","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
010","22","3.682","36.4","63.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
011","25","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
013","24","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
014","24","3.708","62.5","29.2",".","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","300
015","25","3.760","56.0","40.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","282","3.793","61.7","36.2","1.4","0.4","0.4",".",".",".",".",".",".",".",".",".",".","."
"","301
001","162","3.014","10.5","9.3","29.6","11.1","7.4","0.6",".",".",".",".",".",".","31.5",".",".","."
"","301
002","218","3.213","16.1","13.8","42.2","4.6","2.8","0.5",".",".",".",".",".",".","20.2",".",".","."
"Business Law","Course Total","380","3.135","13.7","11.8","36.8","7.4","4.7","0.5",".",".",".",".",".",".","25.0",".",".","."
"","302
001","46","3.348","37.0","21.7","17.4","21.7","2.2",".",".",".",".",".",".",".",".",".",".","."
"","002
302","44","3.443","40.9","25.0","18.2","13.6","2.3",".",".",".",".",".",".",".",".",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","90","3.394","38.9","23.3","17.8","17.8","2.2",".",".",".",".",".",".",".",".",".",".","."
"","001
303","110","2.977","17.3","11.8","48.2","3.6","16.4","0.9","1.8",".",".",".",".",".",".",".",".","."
"","303
010","67","2.590","7.5","6.0","40.3","10.4","26.9","7.5","1.5",".",".",".",".",".",".",".",".","."
"Business Statistics","Course Total","177","2.831","13.6","9.6","45.2","6.2","20.3","3.4","1.7",".",".",".",".",".",".",".",".","."
"","001
304","76","3.480","32.9","32.9","31.6","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","002
304","82","3.646","46.3","37.8","14.6","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Bus Statistics","Course Total","158","3.566","39.9","35.4","22.8","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Acctg&Finance - Non-Bus Majors","310
001","119","3.106","29.4","7.6","30.3","9.2","18.5",".",".","4.2",".",".",".",".",".",".","0.8","."
"Intercultural Communctn in Bus","320
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
001","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","47","3.489","59.6","6.4","17.0",".","6.4","2.1","2.1","6.4",".",".",".",".",".",".",".","."
"","365
003","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
004","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","105","3.869","78.1","6.7","7.6",".","2.9","1.0","1.0","2.9",".",".",".",".",".",".",".","."
"Prof Experience in Business","450
001","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prof Exp Bus-Extended Intrnshp","451
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topcs on Sustainable Bus Pract","600
001","32","3.719","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
001","48","3.542","43.8","22.9","31.3","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","704
002","46","3.554","37.0","39.1","21.7","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Data to Decisions","Course Total","94","3.548","40.4","30.9","26.6","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","750
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","030
765","49","3.571","16.3","81.6","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
031","35","3.557","17.1","77.1","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
031","38","3.579","36.8","42.1","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","73","3.563","27.4","58.9","13.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","Page 49 of 403"
