"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"","370
001","","24","3.792","62.5","33.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Mathematics","Course Total","","57","3.904","82.5","15.8","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
371","","24","3.854","79.2","12.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
002","","25","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Social Studies","Course Total","","49","3.878","79.6","16.3","4.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
001","","24","3.875","91.7",".","4.2",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","372
002","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science","Course Total","","47","3.926","93.6","2.1","2.1",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"","373
001","","36","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
002","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum III","Course Total","","44","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Gen Ed Pract-Diverse Learners","374
001","","13","3.883","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","","56","3.518","41.1","39.3","8.9","5.4","1.8",".","1.8",".",".",".",".",".",".","1.8",".","."
"","Section Total","","64","3.538","46.9","35.9","7.8","4.7","1.6",".","1.6",".",".",".",".",".",".","1.6",".","."
"Proseminar","Course Total","","64","3.538","46.9","35.9","7.8","4.7","1.6",".","1.6",".",".",".",".",".",".","1.6",".","."
"Teach Secondry Schl Math II","394
001","","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
070","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
095","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Children's Lit","Course Total","","48","3.990","97.9","2.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
001","","39","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","440
002","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum IV","Course Total","","46","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching World Lang(6-12)","443
001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg-Health Education","457
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Tch-His&Soc St Mid Sch","458
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg Hist&Soc St in HS","459
001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar:K-Mid Schl Teaching","463
001","","46","3.978","93.5","4.3",".",".",".",".",".",".",".",".",".",".","2.2",".",".","."
"Stdt Tchg in Elem School","464
001","","40","",".",".",".",".",".",".",".",".",".","95.0",".",".",".",".",".","."
"Stdt Tchg-Kindergarten","465
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","466
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","466
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Music:Elem","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","467
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","","Page 81 of 403"
