"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","",""
"","100
001","19","3.684","57.9","21.1","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","19","3.526","31.6","42.1","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","20","3.575","65.0","5.0","25.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","100
004","20","3.525","60.0","15.0","15.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","100
005","19","3.789","73.7","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","114","3.658","61.4","18.4","16.7","0.9","0.9","1.8",".",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","111
001","17","3.235","47.1",".","29.4",".","23.5",".",".",".",".",".",".",".",".",".",".","."
"","212
001","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","19","3.868","89.5","5.3",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","33","3.833","81.8","9.1","6.1",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Rsrch Mthd: Commun Indstry","250
001","20","3.675","65.0","15.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Comm in Life Sci Industries","001
270","21","3.857","76.2","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Intro to Digital Video Prod","314
001","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","332
001","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","23","3.674","65.2","17.4","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","360
001","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
002","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Information Radio","Course Total","39","3.961","89.7","7.7",".",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Special Topics","375
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
012","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
034","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
040","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advertising in Life Sciences","431
001","24","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","440
001","26","3.750","61.5","26.9","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scientific Writing","560
001","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Youth","616
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Risk Communication","625
001","19","3.632","52.6","26.3","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Case Studies-Com of Sci & Tech","640
001","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","12","3.935","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Concep&Design-Mass Com Rsch","806
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sci & Envir Communication","860
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Mass Communication","880
028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Opinion-Life Sci Issues","902
001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","Page 5 of 403"
