"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","100
001","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","26","3.960","88.5","7.7",".",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"Introduction to Art","Course Total","53","3.981","94.3","3.8",".",".",".",".",".","1.9",".",".",".",".",".",".",".","."
"","102
001","17","3.676","58.8","29.4","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","102
002","17","3.618","70.6","17.6","5.9",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","003
102","15","3.429","53.3","20.0",".","6.7","6.7","6.7",".",".","6.7",".",".",".",".",".",".","."
"","102
004","15","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","15","3.533","60.0","6.7","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","102
006","17","3.500","58.8","29.4",".",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","96","3.584","60.4","21.9","7.3","2.1","4.2","1.0","2.1",".","1.0",".",".",".",".",".",".","."
"","104
001","12","3.208","8.3","50.0","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","002
104","11","3.182","18.2","36.4","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","104
003","17","3.412","58.8","11.8","11.8",".","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"","104
004","10","3.600","90.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","50","3.350","44.0","24.0","14.0","6.0","8.0","2.0","2.0",".",".",".",".",".",".",".",".","."
"","001
107","17","3.618","52.9","23.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","107
002","15","3.600","46.7","40.0","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","107
003","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Digital Forms","Course Total","48","3.698","58.3","29.2","8.3","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Contemp Art","001
108","96","3.011","17.7","25.0","25.0","14.6","6.3","6.3","1.0","2.1",".",".",".",".","2.1",".",".","."
"","112
001","13","3.731","69.2","23.1",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","112
002","15","3.633","66.7","13.3","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","112
003","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
004","17","3.676","58.8","29.4","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","112
005","15","3.767","80.0",".","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","112
006","12","3.708","66.7","25.0",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","112
007","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
112","15","3.800","73.3","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","112
009","17","3.875","82.4",".","11.8",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Drawing I","Course Total","130","3.767","71.5","17.7","4.6","2.3","3.1",".",".","0.8",".",".",".",".",".",".",".","."
"","212
001","15","3.133","26.7","46.7","6.7","6.7",".","6.7","6.7",".",".",".",".",".",".",".",".","."
"","212
002","11","3.318","45.5","18.2","18.2","9.1",".","9.1",".",".",".",".",".",".",".",".",".","."
"","003
212","12","3.292","33.3","25.0","8.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","212
004","6","3.167","16.7","50.0",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Drawing II","Course Total","44","3.227","31.8","34.1","9.1","15.9","2.3","4.5","2.3",".",".",".",".",".",".",".",".","."
"","214
001","8","3.516","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","214
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture I","Course Total","14","3.712","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
001","19","3.740","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
002","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","35","3.744","54.3","40.0","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
001","13","3.529","61.5",".","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","224
002","12","3.913","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","25","3.711","76.0",".","20.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
