"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","","","",""
"VET","College Total","2447","3.516","38.7","12.1","14.0","2.0","1.7","0.1","",".","29.8","",".",".",".","0.4","0.0","0.0","1.1","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","NW","NR","Other"
"VET","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Freshmen","","5","3.333","60.0",".","40.0",".",".",".","",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","24","3.355","54.2","8.3","16.7","12.5","8.3",".","",".",".","",".",".",".",".",".",".",".","."
"Junior","","34","3.614","70.6","2.9","20.6",".","5.9",".","",".",".","",".",".",".",".",".",".",".","."
"Senior","","38","3.821","84.2","5.3","7.9",".","2.6",".","",".",".","",".",".",".",".",".",".",".","."
"Undergraduates","","101","3.621","71.3","5.0","15.8","3.0","5.0",".","",".",".","",".",".",".",".",".",".",".","."
"Special","","18","3.654","27.8",".",".","5.6",".",".","",".","55.6","",".",".",".","5.6",".","5.6",".","."
"Graduate","","102","3.894","46.1","2.9","2.9","1.0",".",".","",".","38.2","",".",".",".","6.9",".",".","2.0","."
"Prof Yr 1","","427","3.368","45.7","19.0","22.5","4.7","5.2","0.5","",".","2.6","",".",".",".",".",".",".",".","."
"Prof Yr 2","","577","3.608","48.5","22.0","18.4","2.3","0.7",".","",".","8.0","",".",".",".","0.2",".",".",".","."
"Prof Yr 3","","625","3.388","19.7","12.8","19.5","1.6","1.6",".","",".","44.8","",".",".",".",".",".",".",".","."
"Prof Yr 4","","681","3.986","33.0",".",".",".",".","0.1","",".","62.8","",".",".",".",".","0.1",".","3.8","."
"Professionals","","2310","3.501","35.6","12.5","14.0","1.9","1.6","0.1","",".","33.1","",".",".",".","0.0","0.0",".","1.1","."
"","College Total","2531","3.516","37.4","11.7","13.6","1.9","1.6","0.1","",".","32.2","",".",".",".","0.4","0.0","0.0","1.1","."
