"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"120
Survey of Horticulture","001","","78","3.299","23.1","44.9","17.9","6.4","2.6","1.3","2.6","1.3",".",".",".",".",".",".",".","."
"121
Horticulture Colloquium","001","","35","3.614","48.6","40.0","5.7","2.9",".","2.9",".",".",".",".",".",".",".",".",".","."
"261
Turf Management","001","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"263
Landscape Plants I","001","","11","2.955","27.3","9.1","36.4",".","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"299","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","3.921","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"309
Disease-Landscp Trees&Shrub","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"320
Environment of Hort Plants","001","","22","3.500","31.8","31.8","22.7","4.5",".",".",".","4.5",".",".",".",".",".",".","4.5","."
"339
Plant Biotech:Prin&Technique I","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"370
World Vegetable Crops","001","","49","3.078","24.5","24.5","14.3","10.2","14.3","2.0","2.0","6.1",".",".",".",".","2.0",".",".","."
"374
Tropical Horticulture","001","","18","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"550
Molec Approach-Crop Improvt","001","","10","3.389","50.0","30.0",".",".",".",".","10.0",".",".",".",".",".","10.0",".",".","."
"571","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"571","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","5","***","","","","","","","","","","","","","","","",""
"799
Pract-Horticulture Teaching","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","6","",".",".",".",".",".",".",".","83.3","16.7",".",".",".",".",".",".","."
"990","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","","Page 29 of 403"
