"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"","411
012","23","3.955","87.0","8.7",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"","411
013","28","3.518","25.0","53.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
411","21","3.619","61.9","9.5","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics - Psychology","Course Total","297","3.675","57.2","22.9","15.5","3.0","0.3",".",".","0.3",".",".",".",".","0.7",".",".","."
"","001
413","173","3.221","30.6","16.8","27.7","21.4",".","2.3","0.6",".",".",".",".",".","0.6",".",".","."
"","002
413","15","3.633","53.3","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Language, Mind, and Brain","Course Total","188","3.254","32.4","17.6","26.6","20.2",".","2.1","0.5",".",".",".",".",".","0.5",".",".","."
"Animal Behavior","449
001","165","2.786","18.2","8.5","24.8","12.7","30.9","1.2","1.2","1.8",".",".",".",".","0.6",".",".","."
"Honors-Language, Mind, & Brain","483
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Animal Behavior","489
001","23","3.818","69.6","21.7",".","4.3",".",".",".",".",".",".",".",".","4.3",".",".","."
"Depth Topic","501
001","78","3.052","15.4","24.4","25.6","24.4","7.7","1.3",".",".",".",".",".",".",".",".",".","1.3"
"Cognitive Development","502
001","42","3.012","26.2","19.0","19.0","11.9","14.3","7.1",".",".",".",".",".",".","2.4",".",".","."
"Abnormal Psychology","001
509","188","2.731","19.1","12.2","20.7","10.6","29.8","5.3","2.1",".",".",".",".",".",".",".",".","."
"Behavior Pathology:Neuroses","511
001","145","3.146","24.8","26.2","26.2","12.4","4.1","3.4","2.1",".",".",".",".",".","0.7",".",".","."
"Psychology of Women","522
001","35","3.206","25.7","28.6","25.7","5.7","8.6",".","2.9","2.9",".",".",".",".",".",".",".","."
"Neurobiology","523
001","46","3.098","26.1","15.2","39.1","4.3","10.9","2.2","2.2",".",".",".",".",".",".",".",".","."
"","530
002","61","3.033","9.8","34.4","27.9","14.8","9.8","3.3",".",".",".",".",".",".",".",".",".","."
"","530
003","108","2.921","19.4","13.0","39.8","6.5","14.8","3.7","2.8",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","Course Total","169","2.969","16.0","20.7","35.5","9.5","13.0","3.6","1.8",".",".",".",".",".",".",".",".","."
"Child Psychology","001
560","208","3.544","52.9","18.3","17.3","5.8","4.3","0.5",".",".",".",".",".",".",".",".","1.0","."
"Adult Developmnt & Aging","564
001","96","2.742","7.3","10.4","45.8","11.5","17.7","4.2","2.1","1.0",".",".",".",".",".",".",".","."
"Honors Depth Topic","581
001","10","3.500","50.0","20.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Honors Cognitive Development","582
001","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","610
001","12","3.864","83.3",".",".","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"","610
002","12","2.950","50.0",".","8.3","8.3",".",".","16.7","16.7",".",".",".",".",".",".",".","."
"Stat Anal-Psych Experiments","Course Total","24","3.429","66.7",".","4.2","8.3",".",".","8.3","12.5",".",".",".",".",".",".",".","."
"","618
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","618
003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","618
006","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","618
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","618
023","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Topics","Course Total","64","3.992","98.4","1.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Mind","001
619","30","3.214","16.7","26.7","43.3",".","3.3","3.3",".","3.3",".",".",".",".",".","3.3",".","."
"Organization and Job Design","653
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
040","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","Page 284 of 403",""
